String,Authors,Year,Title,Book,Series,Publisher,City,Volume,Issue,Pagination,DOI,Suffix
"d'Udekem d'Acoz, C.; Faasse, M.; Dumoulin, E.; De Blauwe, H. (2005). Occurrence of the Asian shrimp <i>Palaemon macrodactylus</i> in the Southern Bight of the North Sea, with a key to the Palaemonidae of north-western Europe (Crustacea: Decapoda: Caridae). <em>Ned. Faunist. Meded.</em> 22: 95-111.","d'Udekem d'Acoz, C.; Faasse, M.; Dumoulin, E.; De Blauwe, H.",2005,"Occurrence of the Asian shrimp <i>Palaemon macrodactylus</i> in the Southern Bight of the North Sea, with a key to the Palaemonidae of north-western Europe (Crustacea: Decapoda: Caridae)",,Ned. Faunist. Meded.,,,,,,,22: 95-111
"Tita, G.; Desrosiers, G.; Vincx, M.; Gagné, J.-P.; Locat, J. (2001). Diversity and vertical distribution of nematode assemblages: the Saguenay fjord (Quebec, Canada). <em>Cah. Biol. Mar.</em> 42(3): 263-274.","Tita, G.; Desrosiers, G.; Vincx, M.; Gagné, J.-P.; Locat, J.",2001,"Diversity and vertical distribution of nematode assemblages: the Saguenay fjord (Quebec, Canada)",,Cah. Biol. Mar.,,,,,,,42(3): 263-274
"Norman, A.M.  1892 . On British Mysidae, a family of Crustacea Schizopoda. -  Ann. Mag. nat. Hist., ser. 6, 10: 143-166, 242-263, 2pls","NORMAN, A.M.",1892,"On British Mysidae, a family of Crustacea Schizopoda. -",,"Ann. Mag. nat. Hist., ser. 6, 10: 143-166, 242-263, 2pls",,,,,,,
"Taheri, M.; Braeckman, U.; Vincx, M.; Vanaverbeke, J. (2014). Effect of short-term hypoxia on marine nematode community structure and vertical distribution pattern in three different sediment types of the North Sea. <em>Marine Environmental Research.</em> 99: 149-159.","Taheri, M.; Braeckman, U.; Vincx, M.; Vanaverbeke, J.",2014,Effect of short-term hypoxia on marine nematode community structure and vertical distribution pattern in three different sediment types of the North Sea,,Marine Environmental Research,,,,,,,99: 149-159
"Bacescu, M.; Müller, G. I. (1985). Heteromysoides berberae n. sp. et autres Mysidacés dans les eaux littorales du NE de la Somalie. <em>Revue Roumaine de Biologie - Biologie animale.</em> 30(1): 7-10.","Bacescu, M.; Müller, G. I.",1985,Heteromysoides berberae n. sp. et autres Mysidacés dans les eaux littorales du NE de la Somalie,,Revue Roumaine de Biologie - Biologie animale,,,,,,,30(1): 7-10
"Steuer, A. (1940). Ueber eine neue Ectinosoma-Art (Copepoda Harpacticoida) aus dem Mittelmeer. <em>Zoologischer Anzeiger.</em> 132 (5-6): 124-130, figs. 1-10.","Steuer, A.",1940,Ueber eine neue Ectinosoma-Art (Copepoda Harpacticoida) aus dem Mittelmeer,,Zoologischer Anzeiger,,,,,,,"132 (5-6): 124-130, figs. 1-10"
"Holthuis, L. B. & Gottlieb, E. (1958). An annotated list of the decapod Crustacea of the Mediterranean coast of Israel with an appendix listing the Decapoda of the eastern Mediterranean. <em>Bulletin of the Research Council of Israel.</em> Haifa, Israel. 1-126pp.","Holthuis, L. B. & Gottlieb, E.",1958,An annotated list of the decapod Crustacea of the Mediterranean coast of Israel with an appendix listing the Decapoda of the eastern Mediterranean.,,Bulletin of the Research Council of Israel,,,,,,,"Haifa, Israel. 1-126pp."
"Berry, P.F. (1979). A new species of deep-water palinurid lobster (Crustacea, Decapoda, Palinuridae) from the East coast of southern Africa. <em>Annals of the South African Museum.</em> 78: 93-100.","Berry, P.F.",1979,"A new species of deep-water palinurid lobster (Crustacea, Decapoda, Palinuridae) from the East coast of southern Africa",,Annals of the South African Museum,,,,,,,78: 93-100
"Crosnier, A. (1994). Crustacea Decapoda: Les Metapenaeopsis indo-ouest-pacifiques avec un appareil stridulant (Penaeidae). <em>in: Crosnier, A. Résultats des Campagnes MUSORSTOM 12. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 161: 255-337.","Crosnier, A.",1994,Crustacea Decapoda: Les Metapenaeopsis indo-ouest-pacifiques avec un appareil stridulant (Penaeidae),,"in: Crosnier, A. Résultats des Campagnes MUSORSTOM 12. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",,,,,,,161: 255-337
"Holthuis, L.B.; Gottlieb, E. (1955). The occurrence of the American Blue Crab, <i>Callinectes sapidus</i> Rathbun, in Israel waters. <em>Bulletin of the Research Council of Israel, section B, Zoology.</em> 5B(2): 154-156.","Holthuis, L.B.; Gottlieb, E.",1955,"The occurrence of the American Blue Crab, <i>Callinectes sapidus</i> Rathbun, in Israel waters.",,"Bulletin of the Research Council of Israel, section B, Zoology",,,,,,,5B(2): 154-156
"Sowinsky, V. (1894). Sur les crustacés de la Mer d'Azov = Ракообраанын Ааовскаго мори. <em>Zapiski Kievskago obshchestva estestvoispytatele = Mémoires de la Société des Naturalistes de Kieff.</em> 13: 289-406.","Sowinsky, V.",1894,Sur les crustacés de la Mer d'Azov = Ракообраанын Ааовскаго мори.,,Zapiski Kievskago obshchestva estestvoispytatele = Mémoires de la Société des Naturalistes de Kieff,,,,,,,13: 289-406
"Macpherson, E.; Baba, K. (1993). Crustacea Decapoda: Munida japonica Stimpson, 1858, and related species (Galatheidae). <em>in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 10. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 156, 381-420.","Macpherson, E.; Baba, K.",1993,"Crustacea Decapoda: Munida japonica Stimpson, 1858, and related species (Galatheidae)",,"in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 10. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",,,,,,,"156, 381-420"
"Vanhove, S.; Arntz, W.; Vincx, M. (1999). Comparative study of the nematode communities on the southeastern Weddell Sea shelf and slope (Antarctica). <em>Marine Ecology Progress Series.</em> 181: 237-256.","Vanhove, S.; Arntz, W.; Vincx, M.",1999,Comparative study of the nematode communities on the southeastern Weddell Sea shelf and slope (Antarctica),,Marine Ecology Progress Series,,,,,,,181: 237-256
"Winston J. E. (2005). Re-description and revision of Smitt's ""Floridan Bryozoa"" in the Collection of the Museum of Comparative Zoology, Harvard University. <em>Memoire 7, Virginia Museum of Natural History, Martinsvile, Virginia.</em> 150 pp.",Winston J. E.,2005,"Re-description and revision of Smitt's ""Floridan Bryozoa"" in the Collection of the Museum of Comparative Zoology, Harvard University",,"Memoire 7, Virginia Museum of Natural History, Martinsvile, Virginia",,,,,,,150 pp.
"Verlaque, M.; Riouall, R. (1989). Introduction de <i>Polysiphonia nigrescens</i> et d'<i>Antithamnion nipponicum</i> (Rhodophyta, Ceramiales) sur le littoral mediterraneen francais. <em>Cryptogamie, Algologie.</em> 10: 313-323.","Verlaque, M.; Riouall, R.",1989,"Introduction de <i>Polysiphonia nigrescens</i> et d'<i>Antithamnion nipponicum</i> (Rhodophyta, Ceramiales) sur le littoral mediterraneen francais",,"Cryptogamie, Algologie",,,,,,,10: 313-323
"Gokoglu, M.; Bodur, T.; Kaya, Y. (2003). First record of the Red Sea bannerfish (<i>Heniochus intermedius</i> Steindachner, 1893) from the Mediterranean Sea. <em>Israel Journal of Zoology.</em> 49: 324-325.","Gokoglu, M.; Bodur, T.; Kaya, Y.",2003,"First record of the Red Sea bannerfish (<i>Heniochus intermedius</i> Steindachner, 1893) from the Mediterranean Sea",,Israel Journal of Zoology,,,,,,,49: 324-325
"Thompson, I.C. (1888). Report on the Copepoda collected in Maltese seas by David Bruce, M.B., during 1886-7-8. Proceedings of the Liverpool Biological Society 2:137-151, pls. 6-9.","Thompson, I.C.",1888,"Report on the Copepoda collected in Maltese seas by David Bruce, M.B., during 1886-7-8.",,Proceedings of the Liverpool Biological Society,,,,,,,"2:137-151, pls. 6-9."
"Huys, R., P.F. Andersen & R.M. Kristensen. (1992). Tantulacus hoegi gen. et sp. nov. (Tantulocarida: Deoterthridae) from the meiobenthos of the Faroe Bank, North Atlantic. Sarsia, Bergen 76:287-297.","Huys, R., P.F. Andersen & R.M. Kristensen",1992,"Tantulacus hoegi gen. et sp. nov. (Tantulocarida: Deoterthridae) from the meiobenthos of the Faroe Bank, North Atlantic.",,"Sarsia, Bergen",,,,,,,76:287-297.
"Dautzenberg, Ph. (1895). Récolte malacologique de M. Ch. Alluaud aux environs de Diego-Suarez en 1893. <em>J. conchyliol.</em> 42: 89-112, plates III-IV (dated 1894, published 1/iii/1895).","Dautzenberg, Ph.",1895,Récolte malacologique de M. Ch. Alluaud aux environs de Diego-Suarez en 1893,,J. conchyliol.,,,,,,,"42: 89-112, plates III-IV (dated 1894, published 1/iii/1895)"
"Grootaert P., Shamshev I., Andrade R. (2010). Note on Chersodromia from Portugal, Spain and France with the description of a new brachypterous species (Diptera, Hybotidae, Tachydromiinae). <em>Bulletin S.R.B.E./K.B.V.E.</em> 146: 203-206.","Grootaert P., Shamshev I., Andrade R.",2010,"Note on Chersodromia from Portugal, Spain and France with the description of a new brachypterous species (Diptera, Hybotidae, Tachydromiinae).",,Bulletin S.R.B.E./K.B.V.E.,,,,,,,146: 203-206
"Adam, W. (1940). Notes sur les Gastéropodes: 8. Sur la présence de <i>Pseudamnicola confusa</i> (Frauenfeld, 1863) en Belgique [Notes on the Gastropods: 8. On the presence of <i>Pseudamnicola confusa</i> (Frauenfeld, 1863) in Belgium]. <em>Bulletin du Musée Royal d'Histoire Naturelle de Belgique - Mededeelingen van het Koninklijk Natuurhistorisch Museum van België.</em> 16 (12): 1-7.","Adam, W.",1940,"Notes sur les Gastéropodes: 8. Sur la présence de <i>Pseudamnicola confusa</i> (Frauenfeld, 1863) en Belgique [Notes on the Gastropods: 8. On the presence of <i>Pseudamnicola confusa</i> (Frauenfeld, 1863) in Belgium]",,Bulletin du Musée Royal d'Histoire Naturelle de Belgique - Mededeelingen van het Koninklijk Natuurhistorisch Museum van België,,,,,,,16 (12): 1-7
"Tassia, M. G.; Cannon, J. T.; Konikoff, C. E.; Shenkar, N.; Halanych, K. M.; Swalla, B. J. (2016). The Global Diversity of Hemichordata. <em>PLOS ONE.</em> 11(10): e0162564.","Tassia, M. G.; Cannon, J. T.; Konikoff, C. E.; Shenkar, N.; Halanych, K. M.; Swalla, B. J.",2016,The Global Diversity of Hemichordata,,PLOS ONE,,,,,,,11(10): e0162564
"Barash, A.; Danin, Z. (1972). Contributions to the knowledge of Suez Canal migration. The Indo-Pacific species of Mollusca in the Mediterranean and notes on a collection from the Suez Canal. <em>Israel Journal of Zoology.</em> 21(3-4): 301-374.","Barash, A.; Danin, Z.",1972,Contributions to the knowledge of Suez Canal migration. The Indo-Pacific species of Mollusca in the Mediterranean and notes on a collection from the Suez Canal.,,Israel Journal of Zoology,,,,,,,21(3-4): 301-374
"Den Hartog C. (1966). A preliminary revision of the Proxenetes group (Trigonostomidae, Turbellaria). <em>Proceedings of the Koninklijke Nederlandse Akademie van Wetenschappen. Series C: Biological and Medical Sciences.</em> 69: 97-163.",Den Hartog C.,1966,"A preliminary revision of the Proxenetes group (Trigonostomidae, Turbellaria)",,Proceedings of the Koninklijke Nederlandse Akademie van Wetenschappen. Series C: Biological and Medical Sciences,,,,,,,69: 97-163
"Forest, J. (1987). Résultats des Campagnes MUSORSTOM 3. Les Pylochelidae ou ""Pagures symétriques"" (Crustacea Coenobitoidea). <em>Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 137: 1-254.","Forest, J.",1987,"Résultats des Campagnes MUSORSTOM 3. Les Pylochelidae ou ""Pagures symétriques"" (Crustacea Coenobitoidea)",,"Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",,,,,,,137: 1-254
"Decraemer, W. (1989). Three new draconematid species from Papua New Guinea. <em>Bull. K. Belg. Inst. Nat. Wet.</em> 59: 5-24.","Decraemer, W.",1989,Three new draconematid species from Papua New Guinea,,Bull. K. Belg. Inst. Nat. Wet.,,,,,,,59: 5-24
"Bouchet, P.; Bary, S.; Héros, V.; Marani, G. (2016). How many species of molluscs are there in the world's oceans, and who is going to describe them?. <em>in: Héros, V. et al. (Ed.) Tropical Deep-Sea Benthos 29. Mémoires du Muséum national d'Histoire naturelle (1993).</em> 208: 9-24.","Bouchet, P.; Bary, S.; Héros, V.; Marani, G.",2016,"How many species of molluscs are there in the world's oceans, and who is going to describe them?",,"in: Héros, V. et al. (Ed.) Tropical Deep-Sea Benthos 29. Mémoires du Muséum national d'Histoire naturelle (1993)",,,,,,,208: 9-24
"Kosswig, C. (1951). Contributions to the knowledge of the zoogeographical situation in the near and middle east. <em>Experientia.</em> 7(11): 401-406.","Kosswig, C.",1951,Contributions to the knowledge of the zoogeographical situation in the near and middle east,,Experientia,,,,,,,7(11): 401-406
"Vanosmael, C.; Willems, K. A.; Claeys, D.; Vincx, M.; Heip, C. (1982). Macrobenthos of a sublittoral sandbank in the southern bight of the North Sea. <em>Journal of the Marine Biological Association of the United Kingdom.</em> 62: 521-534.","Vanosmael, C.; Willems, K. A.; Claeys, D.; Vincx, M.; Heip, C.",1982,Macrobenthos of a sublittoral sandbank in the southern bight of the North Sea,,Journal of the Marine Biological Association of the United Kingdom,,,,,,,62: 521-534
"Wolf, M. A.; Sciuto, K.; Andreoli, C.; Moro, I. (2012). Ulva (Chlorophyta, Ulvales) Biodiversity in the North Adriatic Sea (Mediterranean, Italy): Cryptic Species and New Introductions. <em>Journal of Phycology.</em> 48(6): 1510-1521.","Wolf, M. A.; Sciuto, K.; Andreoli, C.; Moro, I.",2012,"Ulva (Chlorophyta, Ulvales) Biodiversity in the North Adriatic Sea (Mediterranean, Italy): Cryptic Species and New Introductions",,Journal of Phycology,,,,,,,48(6): 1510-1521
"Senicheva, M.I. (2002). New and rear diatom and dinoflagellate species of alga for the Black Sea. <em>Ekologia moria.</em> 62: 25-29 (in Russian).","Senicheva, M.I.",2002,New and rear diatom and dinoflagellate species of alga for the Black Sea,,Ekologia moria,,,,,,,62: 25-29 (in Russian).
"Suzuki, N.; Not, F. (2015). Biology and Ecology of Radiolaria, in: Ohtsuka, S. et al. (Ed.). <em>Marine Protists: Diversity and dynamics.</em> 179-222.","Suzuki, N.; Not, F.",2015,"Biology and Ecology of Radiolaria, in: Ohtsuka, S. et al. (Ed.)",,Marine Protists: Diversity and dynamics,,,,,,,179-222
"De Coninck, L. A. (1932). Nieuwe bijdrage tot de kennis der vrijlevende nematoden van België [New contribution to the knowledge of free-living nematodes of Belgium]. <em>Bull. Mus. royal d'Hist. Nat. Belg./Med. Kon. Natuurhist. Mus. Belg.</em> 8(7): 1-30.","De Coninck, L. A.",1932,Nieuwe bijdrage tot de kennis der vrijlevende nematoden van België [New contribution to the knowledge of free-living nematodes of Belgium],,Bull. Mus. royal d'Hist. Nat. Belg./Med. Kon. Natuurhist. Mus. Belg.,,,,,,,8(7): 1-30
"Van Soest, R.W.M.; Hooper, J.N.A. (2002). Family Samidae Sollas, 1886. Pp. 99-101. <em>In: Hooper, J.N.A.; Van Soest, R.W.M. (eds). Systema Porifera: a guide to the classification of sponges. 2 volumes.</em> Kluwer Academic/Plenum, NY, 1708 + xvliii. ISBN 0-306-47260-0 (printed version).","Van Soest, R.W.M.; Hooper, J.N.A.",2002,"Family Samidae Sollas, 1886. Pp. 99-101",,"In: Hooper, J.N.A.; Van Soest, R.W.M. (eds). Systema Porifera: a guide to the classification of sponges. 2 volumes",,,,,,,"Kluwer Academic/Plenum, NY, 1708 + xvliii. ISBN 0-306-47260-0 (printed version)"
"Dautzenberg, Ph. (1893). Description d'une nouvelle espèce du genre Littorina provenant des côtes de la Tunisie. <em>J. conchyliol.</em> XLI: 35-36, plate I.","Dautzenberg, Ph.",1893,Description d'une nouvelle espèce du genre Littorina provenant des côtes de la Tunisie,,J. conchyliol.,,,,,,,"XLI: 35-36, plate I"
"Chen, H.L. (1997). Crustacea Decapoda: Ethusinae (Dorippidae), mainly from the KARUBAR Cruise. <em>in: Crosnier, A. et al. (Ed.) Résultats des Campagnes MUSORSTOM 16. Campagne Franco-Indonésienne KARUBAR. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 172: 613-626.","Chen, H.L.",1997,"Crustacea Decapoda: Ethusinae (Dorippidae), mainly from the KARUBAR Cruise",,"in: Crosnier, A. et al. (Ed.) Résultats des Campagnes MUSORSTOM 16. Campagne Franco-Indonésienne KARUBAR. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",,,,,,,172: 613-626
"De Smet, W.H.O. (1994). Proales christinae (Rotifera, Proalidae): a new species from the littoral of the North Sea. <em>Belgian Journal of Zoology.</em> 124(1): 21-25.","De Smet, W.H.O.",1994,"Proales christinae (Rotifera, Proalidae): a new species from the littoral of the North Sea",,Belgian Journal of Zoology.,,,,,,,124(1): 21-25
"Vanhove, S.; Beghyn, M.; Van Gansbeke, D.; Bullough, L.; Vincx, M. (2000). A seasonally varying biotope at Signy Island, Antarctic: implications for meiofaunal structure. <em>Marine Ecology Progress Series.</em> 202: 13-25.","Vanhove, S.; Beghyn, M.; Van Gansbeke, D.; Bullough, L.; Vincx, M.",2000,"A seasonally varying biotope at Signy Island, Antarctic: implications for meiofaunal structure",,Marine Ecology Progress Series,,,,,,,202: 13-25
"Young, L.; Polychronidis, L.; Zenetos, A. (2007). Saronikos Gulf: Hot spot for alien mollusca. 1st Panhellenic Meeting on Aquatic Invasive Species in the eastern Mediterranean. November, Herakleio, Crete : 5-6.","Young, L.; Polychronidis, L.; Zenetos, A.",2007,Saronikos Gulf: Hot spot for alien mollusca,,1st Panhellenic Meeting on Aquatic Invasive Species in the eastern Mediterranean,,,,,,,"November, Herakleio, Crete : 5-6"
"Moravec, F. (1987). Revision of capillariid nematodes (subfamily Capillariinae) parasitic in fishes. <em>Academia nakladatelství Československé akademie věd.</em>","Moravec, F.",1987,Revision of capillariid nematodes (subfamily Capillariinae) parasitic in fishes.,,Academia nakladatelství Československé akademie věd,,,,,,,
"Houart, R. (2001). <i>Chicoreus (Triplex) setionoi</i> n. sp. (Gastropoda: Muricidae) from Arafura Sea, Pacific Ocean. <em>Novapex.</em> 2 (4): 145-148.","Houart, R.",2001,"<i>Chicoreus (Triplex) setionoi</i> n. sp. (Gastropoda: Muricidae) from Arafura Sea, Pacific Ocean",,Novapex,,,,,,,2 (4): 145-148
"Nielsen, J.G. (1997). Deepwater Ophidiiform fishes from off New Caledonia with six new species. <em>in: Séret, B. (Ed.) Résultats des Campagnes MUSORSTOM 17. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 174: 51-82.","Nielsen, J.G.",1997,Deepwater Ophidiiform fishes from off New Caledonia with six new species,,"in: Séret, B. (Ed.) Résultats des Campagnes MUSORSTOM 17. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",,,,,,,174: 51-82
"Van Soest, R.W.M. (1984). Deficient <i>Merlia normani</i> Kirkpatrick, 1908, from the Curaçao reefs, with a discussion on the phylogenetic interpretation of sclerosponges. <em>Bijdragen tot de Dierkunde.</em> 54 (2): 211-219.","Van Soest, R.W.M.",1984,"Deficient <i>Merlia normani</i> Kirkpatrick, 1908, from the Curaçao reefs, with a discussion on the phylogenetic interpretation of sclerosponges",,Bijdragen tot de Dierkunde,,,,,,,54 (2): 211-219
"Briggs, R.P. (1973). <i>Lichomolgus actiniae</i> D.V.: an associated copepod new to Irish waters. <em>Irish Naturalists' Journal.</em> 17(12):423-424. (x-1973).","Briggs, R.P.",1973,<i>Lichomolgus actiniae</i> D.V.: an associated copepod new to Irish waters.,,Irish Naturalists' Journal,,,,,,,17(12):423-424. (x-1973)
"Mortensen, T. (1938). Contributions to the study of the development and larval forms of Echinoderms. IV. <em>Det Kongelige Danske videnskabernes selskabs skrifter. Naturvidenskabelig og mathematisk afdeling.</em> 9, series VII, no. 3: 1-59, 30 figs, 12 pls.","Mortensen, T.",1938,Contributions to the study of the development and larval forms of Echinoderms. IV,,Det Kongelige Danske videnskabernes selskabs skrifter. Naturvidenskabelig og mathematisk afdeling.,,,,,,,"9, series VII, no. 3: 1-59, 30 figs, 12 pls."
"Gabriele, M.; Bellot, A.; Gallotti, D.; Brunetti, R. (1999). Sublittoral hard substrate communities of the Northern Adriatic Sea. <em>Cah. Biol. Mar.</em> 40(1): 65-76.","Gabriele, M.; Bellot, A.; Gallotti, D.; Brunetti, R.",1999,Sublittoral hard substrate communities of the Northern Adriatic Sea,,Cah. Biol. Mar.,,,,,,,40(1): 65-76
"De Blauwe, H. (2011). De slijkgrascicade Prokelisia marginata (Hemiptera: Delphacidae), een exoot gebonden aan Engels slijkgras Spartina townsendii, verovert nu ook de Belgische kust. <em>De Strandvlo.</em> 31(3-4): 80-88.","De Blauwe, H.",2011,"De slijkgrascicade Prokelisia marginata (Hemiptera: Delphacidae), een exoot gebonden aan Engels slijkgras Spartina townsendii, verovert nu ook de Belgische kust",,De Strandvlo,,,,,,,31(3-4): 80-88
"Williams, G.C. (1999). Index Pennatulacea: annotated bibliography and indexes of the Sea Pens (Coelenterata: Octocorallia) of the World 1469-1999. <em>Proc. Calif. Acad. Sci.</em> 51(2): 19-103, 1 fig., 14 plates.","Williams, G.C.",1999,Index Pennatulacea: annotated bibliography and indexes of the Sea Pens (Coelenterata: Octocorallia) of the World 1469-1999,,Proc. Calif. Acad. Sci.,,,,,,,"51(2): 19-103, 1 fig., 14 plates"
"Vanderperren, J.-P. (1991). Report Natural History Archive 1990 [Verslag Natuurhistorisch Archief 1990]. <em>De Strandvlo.</em> 11(3): 65-75.","Vanderperren, J.-P.",1991,Report Natural History Archive 1990 [Verslag Natuurhistorisch Archief 1990],,De Strandvlo,,,,,,,11(3): 65-75
"Volkmer-Ribeiro, C. (1996). <i>Acanthodiscus</i> new genus and genus <i>Anheteromeyenia</i> redefined (Porifera, Spongillidae). <em>Iheringia. Série Zoologia.</em> 81: 31-43.","Volkmer-Ribeiro, C.",1996,"<i>Acanthodiscus</i> new genus and genus <i>Anheteromeyenia</i> redefined (Porifera, Spongillidae)",,Iheringia. Série Zoologia,,,,,,,81: 31-43
"Kozloff, E. N. (1998). Acoel flatworms (Platyhelminthes) from the ancient Punic ports of Carthage, at Salammbô, Tunisia. <em>Cahiers de Biologie Marine.</em> 39: 15-28.","Kozloff, E. N.",1998,"Acoel flatworms (Platyhelminthes) from the ancient Punic ports of Carthage, at Salammbô, Tunisia",,Cahiers de Biologie Marine,,,,,,,39: 15-28
"Tottenham, C. E. (1955). Studies in the genus Philonthus Stephens (Coleoptera: Staphylinidae). Transactions of the Royal Entomological Society of London. 106(3): 153-195.","Tottenham, C. E.",1955,Studies in the genus Philonthus Stephens (Coleoptera: Staphylinidae),,Transactions of the Royal Entomological Society of London,,,,,,,106(3): 153-195
"Derycke, S.; Backeljau, T.; Vlaeminck, C.; Vierstraete, A.; Vanfleteren, J.; Vincx, M.; Moens, T. (2007). Spatiotemporal analysis of population genetic structure in Geomonhystera disjuncta (Nematoda, Monhysteridae) reveals high levels of molecular diversity. <em>Marine Biology.</em> 151(5): 1799-1812.","Derycke, S.; Backeljau, T.; Vlaeminck, C.; Vierstraete, A.; Vanfleteren, J.; Vincx, M.; Moens, T.",2007,"Spatiotemporal analysis of population genetic structure in Geomonhystera disjuncta (Nematoda, Monhysteridae) reveals high levels of molecular diversity",,Marine Biology,,,,,,,151(5): 1799-1812
"De Troch, M.; Van Gansbeke, D.; Vincx, M. (2006). Resource availability and meiofauna in sediment of tropical seagrass beds: Local versus global trends. <em>Marine Environmental Research.</em> 61(1): 59-73.","De Troch, M.; Van Gansbeke, D.; Vincx, M.",2006,Resource availability and meiofauna in sediment of tropical seagrass beds: Local versus global trends,,Marine Environmental Research,,,,,,,61(1): 59-73
"Guinot, D. (1989). Le genre Carcinoplax H. Milne Edwards, 1852 (Crustacea, Brachyura : Goneplacidae). <em>in: Forest, J. Résultats des Campagnes MUSORSTOM 5. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 144: 265-345.","Guinot, D.",1989,"Le genre Carcinoplax H. Milne Edwards, 1852 (Crustacea, Brachyura : Goneplacidae)",,"in: Forest, J. Résultats des Campagnes MUSORSTOM 5. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",,,,,,,144: 265-345
"Greeff, R. (1870). Protohydra Leuckarti. Eine marine Stammform der Coelenteraten. <em>Zeitschrift für wissenschaftliche Zoologie.</em> 20: 37-54, pls 4-5.","Greeff, R.",1870,Protohydra Leuckarti. Eine marine Stammform der Coelenteraten,,Zeitschrift für wissenschaftliche Zoologie,,,,,,,"20: 37-54, pls 4-5."
"Massart, J. (1920). Recherches sur les organismes inférieurs. 7. Sur la motilité des Flagellates. <em>Bull. Cl. sci., Acad. r. Belg.</em> 5(6): 116-140.","Massart, J.",1920,Recherches sur les organismes inférieurs. 7. Sur la motilité des Flagellates.,,"Bull. Cl. sci., Acad. r. Belg.",,,,,,,5(6): 116-140.
"Cantone, G.; Fassari, G.; Brigandi, S. (1978). Ricerche sui Policheti della Tunisia. <em>Animalia.</em> 5(1): 51-78.","Cantone, G.; Fassari, G.; Brigandi, S.",1978,Ricerche sui Policheti della Tunisia,,Animalia,,,,,,,5(1): 51-78
"Mortier, S. (1998). Tidale en diurnale ritmes van het hyperbenthos in het subtidaal van de Belgische oostkust. <em>BSc Thesis. Universiteit Gent. Mariene Biologie. Instituut voor Dierkunde. Vakgroep Morfologie, Systematiek en Ecologie: Gent.</em> 94 pp.","Mortier, S.",1998,Tidale en diurnale ritmes van het hyperbenthos in het subtidaal van de Belgische oostkust,,"BSc Thesis. Universiteit Gent. Mariene Biologie. Instituut voor Dierkunde. Vakgroep Morfologie, Systematiek en Ecologie: Gent",,,,,,,94 pp
"Grimaldi de Zio, S.; D'Addabbo Gallo, M.; Morone de Lucia, M. R.; Vaccarella, R.; Grimaldi, P. (1982). Quattro nuove specie di Halechiniscidae rinvenute in due grotte sottomarine dell'Italia meridionale. (Tardigrada: Heterotardigrada). [Four new species of marine Tardigrada found in two submarine caves of South Italy (Tardigrada: Heterotardigrada)]. <em>Cahiers de Biologie Marine.</em> 23, 415–426.","Grimaldi de Zio, S.; D'Addabbo Gallo, M.; Morone de Lucia, M. R.; Vaccarella, R.; Grimaldi, P.",1982,Quattro nuove specie di Halechiniscidae rinvenute in due grotte sottomarine dell'Italia meridionale. (Tardigrada: Heterotardigrada). [Four new species of marine Tardigrada found in two submarine caves of South Italy (Tardigrada: Heterotardigrada)],,Cahiers de Biologie Marine,,,,,,,"23, 415–426"
"Faasse, M.A.; Verboom, L.; Van der Loos, L. (2018). De Pacifische vlokreeft Aoroides semicurvatus in Nederland. <em>Macrofaunanieuwsmail.</em> 140: 21-23.","Faasse, M.A.; Verboom, L.; Van der Loos, L.",2018,De Pacifische vlokreeft Aoroides semicurvatus in Nederland,,Macrofaunanieuwsmail,,,,,,,140: 21-23
"Bruce, A. J. (1990). Crustacea Decapoda: Gelastreutes crosnieri gen. nov., sp. nov. (Hippolytidae) from New Caledonia. <em>in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 6. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologi.</em> 145, 137-147.","Bruce, A. J.",1990,"Crustacea Decapoda: Gelastreutes crosnieri gen. nov., sp. nov. (Hippolytidae) from New Caledonia",,"in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 6. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologi",,,,,,,"145, 137-147"
"Huys, R. (1995). Some remarks on the taxonomic status of Paraschizopera Wells, 1981 (Copepods: Harpacticoida). <em>Hydrobiologia.</em> 308(1): 23-28.","Huys, R.",1995,"Some remarks on the taxonomic status of Paraschizopera Wells, 1981 (Copepods: Harpacticoida)",,Hydrobiologia,,,,,,,308(1): 23-28
