String,Authors,Year,Title,Series,Suffix,DOI
"Tseng, C. K.; Baoren, L. (2002). Some new species and records of Sargassum (Sargassaceae, Phaeophyta) from the China Sea. <em>In: Abbott, I.A. et al. (Ed.) (2002). Taxonomy of economic seaweeds with reference to some Pacific species.</em> VIII, 135-148.","Tseng, C. K.; Baoren, L.",2002,"Some new species and records of Sargassum (Sargassaceae, Phaeophyta) from the China Sea","In: Abbott, I.A. et al. (Ed.) (2002). Taxonomy of economic seaweeds with reference to some Pacific species","VIII, 135-148",
"Rabaut, M.; Braeckman, U.; Hendrickx, F.; Vincx, M.; Degraer, S. (2008). Experimental beam-trawling in Lanice conchilega reefs: Impact on the associated fauna. <em>Fisheries Research.</em> 90(1-3): 209-216.","Rabaut, M.; Braeckman, U.; Hendrickx, F.; Vincx, M.; Degraer, S.",2008,Experimental beam-trawling in Lanice conchilega reefs: Impact on the associated fauna,Fisheries Research,90(1-3): 209-216,10.1016/j.fishres.2007.10.009
"Huys, R. & S. Conroy-Dalton. (2000). Generic concepts in the Clytemnestridae (Copepoda, Harpacticoida), revision and revival. Bulletin of the Natural History Museum, London, Zoology 66(1):1-48. (29.vi.2000)","Huys, R. & S. Conroy-Dalton",2000,"Generic concepts in the Clytemnestridae (Copepoda, Harpacticoida), revision and revival.","Bulletin of the Natural History Museum, London, Zoology",66(1):1-48. (29.vi.2000),
"Manuel, M.; Borojevic, R.; Boury-Esnault, N.; Vacelet, J. (2002). Class Calcarea Bowerbank, 1864. Pp. 1103-1110. <em>In: Hooper, J.N.A.; Van Soest, R.W.M. (eds) (2002). Systema Porifera: a guide to the classification of sponges. 2 volumes.</em> Kluwer Academic/Plenum, NY, 1708 + xvliii. ISBN 0-306-47260-0 (printed version).","Manuel, M.; Borojevic, R.; Boury-Esnault, N.; Vacelet, J.",2002,"Class Calcarea Bowerbank, 1864. Pp. 1103-1110","In: Hooper, J.N.A.; Van Soest, R.W.M. (eds) (2002). Systema Porifera: a guide to the classification of sponges. 2 volumes","Kluwer Academic/Plenum, NY, 1708 + xvliii. ISBN 0-306-47260-0 (printed version)",
"Gordon, D. P.; d'Hondt, J.-L. (1997). Bryozoa: Lepraliomorpha and other Ascophorina, mainly from New Caledonian waters. <em>in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 18. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 176: pp. 9-124.","Gordon, D. P.; d'Hondt, J.-L.",1997,"Bryozoa: Lepraliomorpha and other Ascophorina, mainly from New Caledonian waters","in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 18. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",176: pp. 9-124,
"Dumoulin, E. (2004). Snelle areaaluitbreiding van het penseelkrabbetje Hemigrapsus penicillatus (de Haan, 1835) langs de kusten van de Zuidelijke Bocht van de Noordzee, status van haar opmars in de Westerschelde en beschouwingen over de ecologie en het gedrag van de soort. <em>De Strandvlo.</em> 24(1): 5-35.","Dumoulin, E.",2004,"Snelle areaaluitbreiding van het penseelkrabbetje Hemigrapsus penicillatus (de Haan, 1835) langs de kusten van de Zuidelijke Bocht van de Noordzee, status van haar opmars in de Westerschelde en beschouwingen over de ecologie en het gedrag van de soort",De Strandvlo,24(1): 5-35,
"Forest, J. (1996). Henri Milne Edwards (23 October 1800-29 July 1885). <em>J. Crust. Biol.</em> 16(1): 208-213.","Forest, J.",1996,Henri Milne Edwards (23 October 1800-29 July 1885),J. Crust. Biol.,16(1): 208-213,
"Filipjev, I. N. (1946). Свободноживущие нематоды из северного ледовитого океана = Nématodes libres du bassin polaire. <em>Trudy Dreifuiushchaiae Ekspeditsiia Glavsevmorputi na Ledokol'nom Parokhode G. Sedov 1937-1940.</em> III: 158-184.","Filipjev, I. N.",1946,Свободноживущие нематоды из северного ледовитого океана = Nématodes libres du bassin polaire,Trudy Dreifuiushchaiae Ekspeditsiia Glavsevmorputi na Ledokol'nom Parokhode G. Sedov 1937-1940,III: 158-184,
"Hasle, G. R. (1983). <i>Thalassiosira punctigera</i> (Castr.) comb, nov., a widely distributed marine planktonic diatom. <em>Nordic Journal of Botany.</em> 3(5): 593-608.","Hasle, G. R.",1983,"<i>Thalassiosira punctigera</i> (Castr.) comb, nov., a widely distributed marine planktonic diatom",Nordic Journal of Botany,3(5): 593-608,10.1111/j.1756-1051.1983.tb01471.x
"de Ridder, M., J. Mertens & H.J. Dumont. (1989). Crustacea and Rotatoria from Jebel Uweinat (north-eastern Sahara). Biologisch Jaarboek Dodonaea 56:111-114. 27 Feb 1989","de Ridder, M., J. Mertens & H.J. Dumont",1989,Crustacea and Rotatoria from Jebel Uweinat (north-eastern Sahara).,Biologisch Jaarboek Dodonaea,56:111-114. 27 Feb 1989,
"Sars, G.O. (1915). Copepoda Cyclopoida. Parts IX & X. Ascomyzontidae (concluded), Aconthiophoridae, Myzopontiidae, Dyspontiidae, Artotrogidae, Cancerillidae. An Account of the Crustacea of Norway, with short descriptions and figures of all the species. Bergen Museum, Bergen 6:105-140, pls. 65-80.","Sars, G.O.",1915,"Copepoda Cyclopoida. Parts IX & X. Ascomyzontidae (concluded), Aconthiophoridae, Myzopontiidae, Dyspontiidae, Artotrogidae, Cancerillidae.","An Account of the Crustacea of Norway, with short descriptions and figures of all the species. Bergen Museum, Bergen","6:105-140, pls. 65-80. SIL QL441.4 .S24",
"Rouse, G. W.; Pleijel, F. (2001). Polychaetes. <em>Oxford University Press: Oxford, UK [etc.]. ISBN 0-19-850608-2.</em> 354 pp.","Rouse, G. W.; Pleijel, F.",2001,Polychaetes,"Oxford University Press: Oxford, UK [etc.]. ISBN 0-19-850608-2",354 pp,
"Huys, R., J.Y. Bodiou & P. Bodin. (1996). A revision of Psamathea (Harpacticoida: Leptastacidae) with description of P. brittanica sp. nov. <em>Vie et Milieu.</em> 46(1): 7-19.","Huys, R., J.Y. Bodiou & P. Bodin",1996,A revision of Psamathea (Harpacticoida: Leptastacidae) with description of P. brittanica sp. nov.,Vie et Milieu,46(1): 7-19.,
"Pelseneer, P. (1887). Report on the Pteropoda collected by H.M.S. Challenger during the years 1873-76. Part I. The Gymnosomata. <em>Report on the Scientific Results of the Voyage of H.M.S. Challenger during the years 1873–76. Zoology.</em> 19 (part 58): 1-74, pl. 1-3.","Pelseneer, P.",1887,Report on the Pteropoda collected by H.M.S. Challenger during the years 1873-76. Part I. The Gymnosomata,Report on the Scientific Results of the Voyage of H.M.S. Challenger during the years 1873–76. Zoology,"19 (part 58): 1-74, pl. 1-3",
"Furstenberg, J. P.; Vincx, M. (1988). Procamacolaimus tubifer Gerlach, 1953, Procamacolaimus africanus sp. nov. and Eontolaimus capensis gen.nov., sp.nov. (Nematoda, Leptolaimidae) from Southern Africa. <em>S. Afr. J. Zool.</em> 23(3): 208-214.","Furstenberg, J. P.; Vincx, M.",1988,"Procamacolaimus tubifer Gerlach, 1953, Procamacolaimus africanus sp. nov. and Eontolaimus capensis gen.nov., sp.nov. (Nematoda, Leptolaimidae) from Southern Africa.",S. Afr. J. Zool.,23(3): 208-214,
Çeviker D. (2001). Recent immigrant bivalves in the Northeastern Mediterranean off Iskenderun. <i>La Conchiglia 298</i>:  39-46,"Çeviker, D.",2001,Recent immigrant bivalves in the Northeastern Mediterranean off Iskenderun,La Conchiglia,298: 39-46,
"Serejo, C. S. (2004). Cladistic revision of talitroidean amphipods (Crustacea, Gammaridea), with a proposal of a new classification. <em>Zoologica Scripta.</em> 33(6): 551-586.","Serejo, C. S.",2004,"Cladistic revision of talitroidean amphipods (Crustacea, Gammaridea), with a proposal of a new classification",Zoologica Scripta,33(6): 551-586,
"Schuurmans Stekhoven, J. H. Jr. (1950). The freeliving marine nemas of the Mediterranean: I. The Bay of Villefranche. <em>Mémoires de l'Institut Royal des Sciences Naturelles de Belgique, deuxième série = Verhandelingen van het Koninklijk Belgisch Instituut voor Natuurwetenschappen. Institut Royal des Sciences Naturelles de Belgique: Bruxelles.</em> 2(37): 1-220.","Schuurmans Stekhoven, J. H. Jr.",1950,The freeliving marine nemas of the Mediterranean: I. The Bay of Villefranche,"Mémoires de l'Institut Royal des Sciences Naturelles de Belgique, deuxième série = Verhandelingen van het Koninklijk Belgisch Instituut voor Natuurwetenschappen. Institut Royal des Sciences Naturelles de Belgique: Bruxelles",2(37): 1-220,
"Ehlers, U. (1972). Systematisch-phylogenetische Untersuchungen an der Familie Solenopharyngidae (Turbellaria, Neorhabdocoela). <em>Mikrofauna Meeresbodens.</em> 11:1-78.","Ehlers, U.",1972,"Systematisch-phylogenetische Untersuchungen an der Familie Solenopharyngidae (Turbellaria, Neorhabdocoela).",Mikrofauna Meeresbodens,11:1-78,
"Huys, R. (2009). On the junior subjective synonyms of Coullia Hamond, 1973 (Copepoda, Harpacticoida, Laophontidae): an and key to species and related genera. <em>ZooKeys.</em> 5: 33-40.","Huys, R.",2009,"On the junior subjective synonyms of Coullia Hamond, 1973 (Copepoda, Harpacticoida, Laophontidae): an and key to species and related genera",ZooKeys,5: 33-40,10.3897/zookeys.5.64
"Serène, R.; Vadon, C. (1981). Crustacés Décapodes: Brachyoures. Liste préliminaire, description de formes nouvelles et remarques taxonomiques. In: Forest, J. (ed.) Résultats des Campagnes MUSORSTOM. I - Philippines (18-28 Mars 1976). <em>Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 91: 117-140; Pls. I-IV.","Serène, R.; Vadon, C.",1981,"Crustacés Décapodes: Brachyoures. Liste préliminaire, description de formes nouvelles et remarques taxonomiques. In: Forest, J. (ed.) Résultats des Campagnes MUSORSTOM. I - Philippines (18-28 Mars 1976)","Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",91: 117-140; Pls. I-IV,
"Brusca, R.C.; Brusca, G.J. (1990). Invertebrates. Sinauer Associates: Sunderland, MA (USA). ISBN 0-87893-098-1. 922 pp.","Brusca, R.C. & G.J. Brusca",1990,Invertebrates.,"Sinauer, Sunderland",922pp.,
"Bussotti, S.; Denitto, F.; Guidetti, P.; Belmonte, G. (2002). Fish Assemblages in Shallow Marine Caves of the Salento Peninsula (Southern Apulia, SE Italy). <em>Marine Ecology.</em> 23(s1): 11-20.","Bussotti, S.; Denitto, F.; Guidetti, P.; Belmonte, G.",2002,"Fish Assemblages in Shallow Marine Caves of the Salento Peninsula (Southern Apulia, SE Italy)",Marine Ecology,23(s1): 11-20,10.1111/j.1439-0485.2002.tb00004.x
"Beneden, P.J. van. (1860). Un nouveau genre de Crustacé lernéen. <em>Bulletin de l'Académie Royale de Belgique.</em> (2)9:151-160, pl. 1.","Beneden, P.J. van",1860,Un nouveau genre de Crustacé lernéen.,Bulletin de l'Académie Royale de Belgique,"(2)9:151-160, pl. 1.",
"Heip, C.; Herman, R.; Vincx, M. (1984). Variability and productivity of meiobenthos in the Southern Bight of the North Sea. <em>Rapports et Procès-Verbaux des Réunions de la Commission Internationale pour l'Exploration Scientifique de la Mer Mediterranée, Monaco.</em> 183: 51-56, figs. 1-3, tabs. 1-6.","Heip, C.; Herman, R.; Vincx, M.",1984,Variability and productivity of meiobenthos in the Southern Bight of the North Sea.,"Rapports et Procès-Verbaux des Réunions de la Commission Internationale pour l'Exploration Scientifique de la Mer Mediterranée, Monaco","183: 51-56, figs. 1-3, tabs. 1-6.",
"Clark, A. H. (1911). The recent crinoids of the coasts of Africa. <em>Proceedings of the U.S. National Museum.</em> 40:1-51.","Clark, A. H.",1911,The recent crinoids of the coasts of Africa,Proceedings of the U.S. National Museum,40:1-51,
"Huys, R., J. Llewellyn-Hughes, P.D. Olson & K. Nagasawa. (2006). Small subunit rDNA and Bayesian inference reveal Pectenophilus ornatus (Copepoda incertae sedis) as highly transformed Mytilicolidae, and support assignment of Chondracanthidae and Xarifiidae to Lichomolgoidea (Cyclopoida). <em>Biological Journal of the Linnean Society.</em> 87(3): 403-425.","Huys, R., J. Llewellyn-Hughes, P.D. Olson & K. Nagasawa",2006,"Small subunit rDNA and Bayesian inference reveal Pectenophilus ornatus (Copepoda incertae sedis) as highly transformed Mytilicolidae, and support assignment of Chondracanthidae and Xarifiidae to Lichomolgoidea (Cyclopoida).",Biological Journal of the Linnean Society,87(3): 403-425,10.1111/j.1095-8312.2005.00579.x
"Beneden, P.J. van. (1847). Recherches sur l'embryogénie, l'anatomie et la physiologie des Ascidies simples. <em>Mém. Acad. R. Sci. Lett. B.-Arts Belg., Collect.</em> 4 XX: 1-66, plates I-IV.","Beneden, P.J. van",1847,"Recherches sur l'embryogénie, l'anatomie et la physiologie des Ascidies simples","Mém. Acad. R. Sci. Lett. B.-Arts Belg., Collect.","4 XX: 1-66, plates I-IV",
"Böttger-Schnack, R. & R. Huys. (1998). Species groups within the genus Oncaea Philippi, 1843 (Copepoda, Poecilostomatoida). <em>In: Dahms, H.U., T. Glatzel, H.J. Hirche, S. Schiel & H.K. Schminke, (eds.). Proceedings of the 6th International Conference on Copepoda, Journal of Marine Systems, Spec. Vol.</em> 15(1-4): 369-371.","Böttger-Schnack, R. & R. Huys",1998,"Species groups within the genus Oncaea Philippi, 1843 (Copepoda, Poecilostomatoida).","In: Dahms, H.U., T. Glatzel, H.J. Hirche, S. Schiel & H.K. Schminke, (eds.). Proceedings of the 6th International Conference on Copepoda, Journal of Marine Systems, Spec. Vol.",15(1-4): 369-371,10.1016/s0924-7963(97)00072-9
"Burukovsky, R. N. (2013). Shrimps of the family Nematocarcinidae Smith, 1884 (Crustacea, Decapoda, Caridea) from Taiwan and the Philippines collected by the TAIWAN, PANGLAO 2005 and AURORA expeditions in the western Pacific. <em>Shrimps of the family Nematocarcinidae Smith, 1884 (Crustacea, Decapoda, Caridea) from Taiwan and the Philippines collected by the TAIWAN, PANGLAO 2005 and AURORA expeditions in the western Pacific.</em> 204: 155-189.","Burukovsky, R. N.",2013,"Shrimps of the family Nematocarcinidae Smith, 1884 (Crustacea, Decapoda, Caridea) from Taiwan and the Philippines collected by the TAIWAN, PANGLAO 2005 and AURORA expeditions in the western Pacific","Shrimps of the family Nematocarcinidae Smith, 1884 (Crustacea, Decapoda, Caridea) from Taiwan and the Philippines collected by the TAIWAN, PANGLAO 2005 and AURORA expeditions in the western Pacific",204: 155-189,
"Buckeridge, J. S. (1994). Cirripedia Thoracica: Verrucomorpha of New Caledonia, Indonesia, Wallis and Futuna Islands. <em>in: Crosnier, A. Résultats des Campagnes MUSORSTOM 12. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 161: 87-125.","Buckeridge, J. S.",1994,"Cirripedia Thoracica: Verrucomorpha of New Caledonia, Indonesia, Wallis and Futuna Islands","in: Crosnier, A. Résultats des Campagnes MUSORSTOM 12. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",161: 87-125,
Kilburn R.N. (1985). Turridae (Mollusca: Gastropoda) of southern Africa and Mozambique. Part 2. Subfamily Clavatulinae. <em>Annals of the Natal Museum.</em> 26(2): 417-470.,Kilburn R.N.,1985,Turridae (Mollusca: Gastropoda) of southern Africa and Mozambique. Part 2. Subfamily Clavatulinae.,Annals of the Natal Museum,26(2): 417-470,
"Coull, B.C. (1971). Meiobenthic Harpacticoida (Crustacea, Copepoda) from the North Carolina continental shelf. Cahiers de Biologie Marine 12(2):195-237, figs. 1-17. (15-v-1971)","Coull, B.C.",1971,"Meiobenthic Harpacticoida (Crustacea, Copepoda) from the North Carolina continental shelf.",Cahiers de Biologie Marine,"12(2):195-237, figs. 1-17. (15-v-1971)",
"Bonne, W.; Vincx, M. (2003). Structurele biodiversiteit van benthische copepodengemeenschappen op twee subtidale zandbanken. (Structural biodiversity of benthic copepod communities on two subtidal sandbanks.). <em>Ph.D. Thesis, Universiteit Gent, Ghent, Belgium.</em> 43-92.","Bonne, W.; Vincx, M.",2003,Structurele biodiversiteit van benthische copepodengemeenschappen op twee subtidale zandbanken. (Structural biodiversity of benthic copepod communities on two subtidal sandbanks.),"Ph.D. Thesis, Universiteit Gent, Ghent, Belgium",43-92,
"Mienis, H. K.; Singer, B. (1983). <i>Cypraea gracilis</i>: an interesting addition to the mollusc fauna of the Mediterranean coast of Israel. <em>Levantina.</em> 46: 535-537.","Mienis, H. K.; Singer, B.",1983,<i>Cypraea gracilis</i>: an interesting addition to the mollusc fauna of the Mediterranean coast of Israel,Levantina,46: 535-537,
"McLay, C.L. (1993). Crustacea Decapoda: The Sponge Crabs (Dromiidae) of New Caledonia and the Philippines with a review of the genera. <em>in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 10. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 156: 111-251.","McLay, C.L.",1993,Crustacea Decapoda: The Sponge Crabs (Dromiidae) of New Caledonia and the Philippines with a review of the genera,"in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 10. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",156: 111-251,
"Gheerardyn, H., M. De Troch, M. Vincx & F. Fiers. (2007). Spiniferaphonte, a new genus of Laophontidae (Copepoda: Harpacticoida), with notes on the occurrence of processes on the caudal rami. <em>Journal of Crustacean Biology.</em> 27(2): 309-318.","Gheerardyn, H., M. De Troch, M. Vincx & F. Fiers",2007,"Spiniferaphonte, a new genus of Laophontidae (Copepoda: Harpacticoida), with notes on the occurrence of processes on the caudal rami.",Journal of Crustacean Biology,27(2): 309-318.,10.1651/s-2723.1
"Boone, M.; Houthoofd, W.; Bert, W.; Artois, T. (2011). First record of Nemertodermatida from Belgian marine waters. <em>Belg. J. Zool.</em> 14(1): 62-64.","Boone, M.; Houthoofd, W.; Bert, W.; Artois, T.",2011,First record of Nemertodermatida from Belgian marine waters,Belg. J. Zool.,14(1): 62-64,
"Herkül, K.; Kotta, J.; Kotta, I. (2006). Invasion history and distribution of the semi-terrestrial invasive amphipod Orchestia cavimana in the Estonian coastal sea, in: Ojaveer, H.; Kotta, J. (Ed.) (2006). Alien invasive species in the north-eastern Baltic Sea: population dynamics and ecological impacts. <em>Estonian Marine Institute Report.</em> 23-30.","Herkül, K.; Kotta, J.; Kotta, I.",2006,"Invasion history and distribution of the semi-terrestrial invasive amphipod Orchestia cavimana in the Estonian coastal sea, in: Ojaveer, H.; Kotta, J. (Ed.) (2006). Alien invasive species in the north-eastern Baltic Sea: population dynamics and ecological impacts",Estonian Marine Institute Report,23-30,
"Wieser, W.; Hopper, B. (1966). The Neotonchinae, new subfamily (Cyatholaimidae: Nenatoda), with an analysis of its genera, Neotonchus Cobb, 1933 and Gompnionema new genus. <em>Canadian Journal of Zoology.</em> 44(4): 519-532.","Wieser, W.; Hopper, B.",1966,"The Neotonchinae, new subfamily (Cyatholaimidae: Nenatoda), with an analysis of its genera, Neotonchus Cobb, 1933 and Gompnionema new genus",Canadian Journal of Zoology,44(4): 519-532,10.1139/z66-056
"Chang, C. C. Y.; Lee, J. M.; Clausen, C. (1998). Two new species of Thaumastoderma (Gastrotricha, Macrodasyida) from Korea. <em>Sarsia.</em> 83: 329-336.","Chang, C. C. Y.; Lee, J. M.; Clausen, C.",1998,"Two new species of Thaumastoderma (Gastrotricha, Macrodasyida) from Korea",Sarsia,83: 329-336,
"Poppe G.T., Tagaro S.P. & Stahlschmidt P. (2015). New shelled molluscan species from the central Philippines I. <em>Visaya.</em> 4(3): 15-59.","Poppe G.T., Tagaro S.P. & Stahlschmidt P.",2015,New shelled molluscan species from the central Philippines I,Visaya,4(3): 15-59,
"Clark, A. H. (1908). The Nomenclature of the Recent Crinoids. <em>Proc. US National Museum.</em> 34: 435-536.","Clark, A. H.",1908,The Nomenclature of the Recent Crinoids,Proc. US National Museum,34: 435-536,
"Diapoulis, A.; Bogdanos, C. (1983). Preliminary study of soft substrate macrozoobenthos & marine flora in the Bay of Gera (Lesvos Island, Greece). <em>Thalassographica.</em> 6: 127-139.","Diapoulis, A.; Bogdanos, C.",1983,"Preliminary study of soft substrate macrozoobenthos & marine flora in the Bay of Gera (Lesvos Island, Greece)",Thalassographica,6: 127-139,
"Steyaert, M.; Garner, N.; Van Gansbeke, D.; Vincx, M. (1999). Nematode communities from the North Sea: environmental controls on species diversity and vertical distribution within the sediment. <em>Journal of the Marine Biological Association of the UK.</em> 79(2): 253-264.","Steyaert, M.; Garner, N.; Van Gansbeke, D.; Vincx, M.",1999,Nematode communities from the North Sea: environmental controls on species diversity and vertical distribution within the sediment,Journal of the Marine Biological Association of the UK,79(2): 253-264,10.1017/s0025315498000289
"Areschoug, J. E. (1866). Observationes phycologicae. Particula prima : De confervaceis nonis. <em>Nova Acta regiae Societatis scientiarum Upsaliensis. Seriei tertiae.</em> VI.2. Reg. Acad. Typographus: Upsaliae, Sweden.","Areschoug, J. E.",1866,Observationes phycologicae. Particula prima : De confervaceis nonis.,Nova Acta regiae Societatis scientiarum Upsaliensis. Seriei tertiae,"VI.2. Reg. Acad. Typographus: Upsaliae, Sweden",
"Kerckhof, F.; Stegenga, H. (2003). Nieuwe <i>Polysiphonia</i>-soorten voor België en Noord-Frankrijk, met een gereviseerde determineertabel voor de soorten van het geslacht <i>Polysiphonia</i> in deze regio [New <i>Polysiphonia</i> species for Belgium and Northern France, with a revised key to the species of the genus <i>Polysiphonia</i> in this region]. <em>Dumortiera.</em> 80: 40-45.","Kerckhof, F.; Stegenga, H.",2003,"Nieuwe <i>Polysiphonia</i>-soorten voor België en Noord-Frankrijk, met een gereviseerde determineertabel voor de soorten van het geslacht <i>Polysiphonia</i> in deze regio [New <i>Polysiphonia</i> species for Belgium and Northern France, with a revised key to the species of the genus <i>Polysiphonia</i> in this region]",Dumortiera,80: 40-45,
"Cruz-Barraza, J.A.; Carballo, J.L. (2005). First record of <i>Plakortis</i> Schulze (Porifera:  Homosclerophorida) from the Northeast Pacific coast, with the description of <i>Plakortis albicans</i> sp. nov. <em>Zootaxa.</em> 868: 1-12.","Cruz-Barraza, J.A.; Carballo, J.L.",2005,"First record of <i>Plakortis</i> Schulze (Porifera:  Homosclerophorida) from the Northeast Pacific coast, with the description of <i>Plakortis albicans</i> sp. nov.",Zootaxa,868: 1-12,
"Beneden, P.J. van. (1853). Note sur un nouveau genre de Crustacé parasite (Pagodina). <em>Bulletin de l'Académie Royale de Belgique.</em> 20(1):482-487, pl. 1.","Beneden, P.J. van",1853,Note sur un nouveau genre de Crustacé parasite (Pagodina).,Bulletin de l'Académie Royale de Belgique,"20(1):482-487, pl. 1.",
"Golani, D. (1992). <i>Rhabdosargus haffara</i> (Forsskal, 1775) and <i>Sphyraena flavicauda</i> Ruppell, 1833-new Red Sea immigrants in the Mediterranean. <em>Journal of Fish Biology.</em> 40(1): 139-140.","Golani, D.",1992,"<i>Rhabdosargus haffara</i> (Forsskal, 1775) and <i>Sphyraena flavicauda</i> Ruppell, 1833-new Red Sea immigrants in the Mediterranean",Journal of Fish Biology,40(1): 139-140,10.1111/j.1095-8649.1992.tb02561.x
"Reibisch, J. (1905). Faunistisch-biologische Untersuchungen über Amphipoden der Noordsee. <em>Wiss. Meeresuntersuch. Abth. Kiel.</em> 8: 147-188, pls. iv & v.","Reibisch, J.",1905,Faunistisch-biologische Untersuchungen über Amphipoden der Noordsee.,Wiss. Meeresuntersuch. Abth. Kiel,"8: 147-188, pls. iv & v.",
"Schornikov, E. I. (1966). Leptocythere (Crustacea, Ostracoda) in the Azov-Black Sea Basin. <em>Zoologicheskii Zhurnal.</em> 45: 32-49.","Schornikov, E. I.",1966,"Leptocythere (Crustacea, Ostracoda) in the Azov-Black Sea Basin",Zoologicheskii Zhurnal,45: 32-49,
"Soetaert, K.; Vincx, M. (1988). Spirobolbolaimus bathyalis, gen. nov., sp. nov. (Nematoda, Microlaimidae) from the Mediterranean (Calvi). <em>Hydrobiologia.</em> 164(1): 33-38.","Soetaert, K.; Vincx, M.",1988,"Spirobolbolaimus bathyalis, gen. nov., sp. nov. (Nematoda, Microlaimidae) from the Mediterranean (Calvi)",Hydrobiologia,164(1): 33-38,
"Huys, R. & S. Conroy-Dalton. (1993). Willemsia gen. nov. and Boreopontia Willems, 1981 revisited (Harpacticoida: Cylindropsyllidae). Sarsia, Bergen 78(3-4):273-300, figs 1-18, tab. 1.","Huys, R. & S. Conroy-Dalton",1993,"Willemsia gen. nov. and Boreopontia Willems, 1981 revisited (Harpacticoida: Cylindropsyllidae).","Sarsia, Bergen","78(3-4):273-300, figs 1-18, tab. 1.",
"Houart, R.; Héros, V. (2008). Muricidae (Mollusca: Gastropoda) from Fiji and Tonga. <em>in: Héros, V. et al. (Ed.) Tropical Deep-Sea Benthos 25. Mémoires du Muséum national d'Histoire naturelle (1993).</em> 196: 437-480.","Houart, R.; Héros, V.",2008,Muricidae (Mollusca: Gastropoda) from Fiji and Tonga,"in: Héros, V. et al. (Ed.) Tropical Deep-Sea Benthos 25. Mémoires du Muséum national d'Histoire naturelle (1993)",196: 437-480,
"El Nagar, A.; Huys, R.; Bishop, J. (2010). Widespread occurrence of the Southern Hemisphere ascidian Corella eumyota Traustedt, 1882 on the Atlantic coast of Iberia. <em>Aquatic Invasions.</em> 5(2): 169-173.","El Nagar, A.; Huys, R.; Bishop, J.",2010,"Widespread occurrence of the Southern Hemisphere ascidian Corella eumyota Traustedt, 1882 on the Atlantic coast of Iberia",Aquatic Invasions,5(2): 169-173,10.3391/ai.2010.5.2.06
"Crosnier, A. (1994). Crustacea Decapoda: Penaeoidea à l'exclusion des Sicyoniidae récoltés dans la zone économique des îles Wallis et Futuna lors de la campagne MUSORSTOM 7. <em>in: Crosnier, A. Résultats des Campagnes MUSORSTOM 12. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 161: 367-373.","Crosnier, A.",1994,Crustacea Decapoda: Penaeoidea à l'exclusion des Sicyoniidae récoltés dans la zone économique des îles Wallis et Futuna lors de la campagne MUSORSTOM 7,"in: Crosnier, A. Résultats des Campagnes MUSORSTOM 12. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",161: 367-373,
"Armenteros, M.; Vincx, M.; Decraemer, W. (2010). Guitartia tridentata n. gen., n. sp. (Monhysterida: Xyalidae) and Macrodontium gaspari n. gen., n. sp. (Chromadorida: Microlaimidae), free-living marine nematodes from the Caribbean Sea. <em>Nematology.</em> 12 (3): 417-427.","Armenteros, M.; Vincx, M.; Decraemer, W.",2010,"Guitartia tridentata n. gen., n. sp. (Monhysterida: Xyalidae) and Macrodontium gaspari n. gen., n. sp. (Chromadorida: Microlaimidae), free-living marine nematodes from the Caribbean Sea",Nematology,12 (3): 417-427,
"Ehlers, E. (1901). Die Anneliden der Sammlung Plate, in: Plate, L. (1902). Fauna chilensis. Abhandlungen zur Kenntniss der Zoologie Chiles nach den Sammlungen von Dr. L. Plate. Zweiter Band. <em>Zoologische Jahrbücher.</em> Supplementband V: 251-272.","Ehlers, E",1901,"Die Anneliden der Sammlung Plate, in: Plate, L. (1902). Fauna chilensis. Abhandlungen zur Kenntniss der Zoologie Chiles nach den Sammlungen von Dr. L. Plate. Zweiter Band",Zoologische Jahrbücher,Supplementband V: 251-272,
"Adam, W. (1942). Notes sur les Céphalopodes: 21. A propos d'une publication peu connue de A. Risso 1854 [Notes on the cephalopods: 21. On a hardly known publication from A. Risso 1854]. <em>Bulletin du Musée Royal d'Histoire Naturelle de Belgique - Mededeelingen van het Koninklijk Natuurhistorisch Museum van België.</em> 18 (25): 1-36.","Adam, W.",1942,Notes sur les Céphalopodes: 21. A propos d'une publication peu connue de A. Risso 1854 [Notes on the cephalopods: 21. On a hardly known publication from A. Risso 1854],Bulletin du Musée Royal d'Histoire Naturelle de Belgique - Mededeelingen van het Koninklijk Natuurhistorisch Museum van België,18 (25): 1-36,
