String,Author,Year,Title,Book,Journal,Volume,Issue,Pagination
"Decraemer, W. (1975). Scientific Report on the Belgian expedition to the Great Barrier reef in 1967. Nematodes III : further study of desmoscolex - species (Nematoda-Desmoscolecida) from Yonge Reef, Lizard Island and Nymphe Island. <em>Cahiers de Biologie Marine.</em> 16: 269-284.","Decraemer, W.",1975,"Scientific Report on the Belgian expedition to the Great Barrier reef in 1967. Nematodes III : further study of desmoscolex - species (Nematoda-Desmoscolecida) from Yonge Reef, Lizard Island and Nymphe Island",,Cahiers de Biologie Marine,16,,269-284
"Decraemer, W. (1976). Scientific report on the Belgian expedition to the Great Barrier Reef in 1967. Nematodes VI.Morphological observations on a new genus Quadricomoides of marine Desmoscolecida. <em>Aust. J. Mar. Freshwater Res.</em> 27: 89-115.","Decraemer, W.",1976,Scientific report on the Belgian expedition to the Great Barrier Reef in 1967. Nematodes VI.Morphological observations on a new genus Quadricomoides of marine Desmoscolecida,,Aust. J. Mar. Freshwater Res.,27,,89-115
"Decraemer, W. (1977). Scientific report on the Belgian expedition to the Great Barrier Reef in 1967. Nematodes IX. Four new species of Quadricoma Filipjev (Nematoda, Desmoscolecida). <em>Zoologica Scripta.</em> 6: 275-292.","Decraemer, W.",1977,"Scientific report on the Belgian expedition to the Great Barrier Reef in 1967. Nematodes IX. Four new species of Quadricoma Filipjev (Nematoda, Desmoscolecida)",,Zoologica Scripta,6,,275-292
"Decraemer, W. (1983). Five new species of deep-sea Desmoscolecids (Nematoda-Desmoscolecida) from the Bay of Biscay. <em>Bull. K. Belg. Inst. Nat. Wet.Biologie.</em> 55 (6): 1-26.","Decraemer, W.",1983,Five new species of deep-sea Desmoscolecids (Nematoda-Desmoscolecida) from the Bay of Biscay,,Bull. K. Belg. Inst. Nat. Wet.Biologie,55,6,Jan-26
"Decraemer, W. (1985). Revision and phylogenetic systematics of the Desmoscolecida. <em>Hydrobiologia.</em> 120, 259-283.","Decraemer, W.",1985,Revision and phylogenetic systematics of the Desmoscolecida,,Hydrobiologia,120,,259-283
"Decraemer, W. (1988). Dracograllus (Nematoda: Draconematinae) from Papua New Guinea. <em>Bulletin van het Koninklijk Belgisch Instituut voor Natuurwetenschappen.</em> 58: 5-27.","Decraemer, W.",1988,Dracograllus (Nematoda: Draconematinae) from Papua New Guinea.,,Bulletin van het Koninklijk Belgisch Instituut voor Natuurwetenschappen,58,,May-27
"Decraemer, W. (1989). Three new draconematid species from Papua New Guinea. <em>Bull. K. Belg. Inst. Nat. Wet.</em> 59: 5-24.","Decraemer, W.",1989,Three new draconematid species from Papua New Guinea,,Bull. K. Belg. Inst. Nat. Wet.,59,,May-24
"Decraemer, W.; Coomans, A. (1978). Scientific Report on the Belgian Expedition to The Great Barrier Reef in 1967. Nematodes XII. Ecological Notes on the Nematode Fauna in and around Mangroves on Lizard Island. <em>Aust. J. Mar. Freshwater Res.</em> 29, 497-508.","Decraemer, W.; Coomans, A.",1978,Scientific Report on the Belgian Expedition to The Great Barrier Reef in 1967. Nematodes XII. Ecological Notes on the Nematode Fauna in and around Mangroves on Lizard Island,,Aust. J. Mar. Freshwater Res.,29,4,497-508
"Decraemer, W.; Coomans, A. (1978). Scientific Report on the Belgian Expedition to the Great Barrier Reef in 1967. Nematodes XIII. A Description of Four New Species and a Redescription of Four Known Species from in and around Mangroves on Lizard Island. <em>Marine and Freshwater Research.</em> 29(4): 509-541.","Decraemer, W.; Coomans, A.",1978,Scientific Report on the Belgian Expedition to the Great Barrier Reef in 1967. Nematodes XIII. A Description of Four New Species and a Redescription of Four Known Species from in and around Mangroves on Lizard Island,,Marine and Freshwater Research,29,4,509-541
"Decraemer, W.; Jensen, P. (1982). Revision of the subfamily Meyliinae De Coninck, 1965 (Nematoda: Desmoscolecidae) with a discussion of its systematic position. <em>Zoological Journal of the Linnean Society.</em> 75: 317-325.","Decraemer, W.; Jensen, P.",1982,"Revision of the subfamily Meyliinae De Coninck, 1965 (Nematoda: Desmoscolecidae) with a discussion of its systematic position",,Zoological Journal of the Linnean Society,75,,317-325
"Degraer, S.; Moerkerke, G.; Rabaut, M.; Van hoey, G.; Du four, I.; Vincx, M.; Henriet, J.; Van lancker, V. (2008). Very-high resolution side-scan sonar mapping of biogenic reefs of the tube-worm Lanice conchilega. <em>Remote Sensing of Environment.</em> 112(8), 3323-3328.","Degraer, S.; Moerkerke, G.; Rabaut, M.; Van hoey, G.; Du four, I.; Vincx, M.; Henriet, J.; Van lancker, V.",2008,Very-high resolution side-scan sonar mapping of biogenic reefs of the tube-worm Lanice conchilega,,Remote Sensing of Environment,112,8,3323-3328
"Dekkers, A. M. (2013). Description of an almost white new species of Vexillum (Gastropoda: Costellariidae) from the Philippines. <em>Gloria Maris.</em> 52(3-4): 92-97.","Dekkers, A. M.",2013,Description of an almost white new species of Vexillum (Gastropoda: Costellariidae) from the Philippines,,Gloria Maris,52,03-Apr,92-97
"Del Cerro, L.; Lloris, D. (1997). Gurnard fishes (Scorpaeniformes, Triglidae) from off New Caledonia, with description of five new species. <em>in: Séret, B. (Ed.) Résultats des Campagnes MUSORSTOM 17. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 174: 91-124.","Del Cerro, L.; Lloris, D.",1997,"Gurnard fishes (Scorpaeniformes, Triglidae) from off New Caledonia, with description of five new species",Résultats des Campagnes MUSORSTOM 17,"Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",174,,91-124
"Del Cortona, A.; Jackson, C. J.; Bucchini, F.; Van Bel, M.; D'hondt, S.; Škaloud, P.; Delwiche, C. F.; Knoll, A. H.; Raven, J. A.; Verbruggen, H.; Vandepoele, K.; De Clerck, O.; Leliaert, F. (2020). Neoproterozoic origin and multiple transitions to macroscopic growth in green seaweeds. <em>Proceedings of the National Academy of Sciences.</em> 117(5): 2551-2559.","Del Cortona, A.; Jackson, C. J.; Bucchini, F.; Van Bel, M.; D'hondt, S.; Škaloud, P.; Delwiche, C. F.; Knoll, A. H.; Raven, J. A.; Verbruggen, H.; Vandepoele, K.; De Clerck, O.; Leliaert, F.",2020,Neoproterozoic origin and multiple transitions to macroscopic growth in green seaweeds,,Proceedings of the National Academy of Sciences,117,5,2551-2559
"Den Hartog C. (1966). A preliminary revision of the Proxenetes group (Trigonostomidae, Turbellaria). <em>Proceedings of the Koninklijke Nederlandse Akademie van Wetenschappen. Series C: Biological and Medical Sciences.</em> 69: 97-163.",Den Hartog C.,1966,"A preliminary revision of the Proxenetes group (Trigonostomidae, Turbellaria)",,Proceedings of the Koninklijke Nederlandse Akademie van Wetenschappen. Series C: Biological and Medical Sciences,69,,97-163
"Den Hartog C. (1968). An analysis of the Gnathorhynchidae (Neorhabdocoela, Turbellaria) and the position of Psittacorhynchus verweyi nov.gen., nov.sp. in this family. <em>Koninklijke Nederlandse Akademie van Wetenschappen Proceedings, Series C.</em> 71: 335-345.",Den Hartog C.,1968,"An analysis of the Gnathorhynchidae (Neorhabdocoela, Turbellaria) and the position of Psittacorhynchus verweyi nov.gen., nov.sp. in this family",,"Koninklijke Nederlandse Akademie van Wetenschappen Proceedings, Series C",71,,335-345
"den Hartog, C. (1966). A preliminary revision of the Proxenetes group (Trigonostomidae, Turbellaria). Supplement. <em>Proceedings of the Koninklijke Nederlandse Akademie van Wetenschappen. Series C: Biological and Medical Sciences.</em> 69(5): 557-570, plates XIV-XV.","den Hartog, C.",1966,"A preliminary revision of the Proxenetes group (Trigonostomidae, Turbellaria). Supplement",,Proceedings of the Koninklijke Nederlandse Akademie van Wetenschappen. Series C: Biological and Medical Sciences,69,5,"557-570, plates XIV-XV"
"Derycke, S.; Backeljau, T.; Vlaeminck, C.; Vierstraete, A.; Vanfleteren, J.; Vincx, M.; Moens, T. (2006). Seasonal dynamics of population genetic structure in cryptic taxa of the Pellioditis marina complex (Nematoda: Rhabditida). <em>Genetica.</em> 128(1-3): 307-321.","Derycke, S.; Backeljau, T.; Vlaeminck, C.; Vierstraete, A.; Vanfleteren, J.; Vincx, M.; Moens, T.",2006,Seasonal dynamics of population genetic structure in cryptic taxa of the Pellioditis marina complex (Nematoda: Rhabditida),,Genetica,128,01-Mar,307-321
"Derycke, S.; Backeljau, T.; Vlaeminck, C.; Vierstraete, A.; Vanfleteren, J.; Vincx, M.; Moens, T. (2007). Spatiotemporal analysis of population genetic structure in Geomonhystera disjuncta (Nematoda, Monhysteridae) reveals high levels of molecular diversity. <em>Marine Biology.</em> 151(5): 1799-1812.","Derycke, S.; Backeljau, T.; Vlaeminck, C.; Vierstraete, A.; Vanfleteren, J.; Vincx, M.; Moens, T.",2007,"Spatiotemporal analysis of population genetic structure in Geomonhystera disjuncta (Nematoda, Monhysteridae) reveals high levels of molecular diversity",,Marine Biology,151,5,1799-1812
"Derycke, S.; Fonseca, G.; Vierstraete, A.; Vanfleteren, J.; Vincx, M.; Moens, T. (2008). Disentangling taxonomy within the Rhabditis (Pellioditis) marina (Nematoda, Rhabditidae) species complex using molecular and morhological tools. <em>Zoological Journal of the Linnean Society.</em> 152(1): 1-15.","Derycke, S.; Fonseca, G.; Vierstraete, A.; Vanfleteren, J.; Vincx, M.; Moens, T.",2008,"Disentangling taxonomy within the Rhabditis (Pellioditis) marina (Nematoda, Rhabditidae) species complex using molecular and morhological tools",,Zoological Journal of the Linnean Society,152,1,Jan-15
"Derycke, S.; Hendrickx, F.; Backeljau, T.; Dhondt, S.; Camphijn, L.; Vincx, M.; Moens, T. (2007). Effects of sublethal abiotic stressors on population growth and genetic diversity of Pellioditis marina (Nematoda) from the Westerschelde estuary. <em>Aquatic Toxicology.</em> 82(2): 110-119.","Derycke, S.; Hendrickx, F.; Backeljau, T.; Dhondt, S.; Camphijn, L.; Vincx, M.; Moens, T.",2007,Effects of sublethal abiotic stressors on population growth and genetic diversity of Pellioditis marina (Nematoda) from the Westerschelde estuary,,Aquatic Toxicology,82,2,110-119
"Derycke, S.; Remerie, T.; Backeljau, T.; Vierstraete, A.; Vanfleteren, J.; Vincx, M.; Moens, T. (2008). Phylogeography of the Rhabditis ( Pellioditis ) marina species complex: evidence for long-distance dispersal, and for range expansions and restricted gene flow in the northeast Atlantic. <em>Molecular Ecology.</em> 17(14): 3306-3322.","Derycke, S.; Remerie, T.; Backeljau, T.; Vierstraete, A.; Vanfleteren, J.; Vincx, M.; Moens, T.",2008,"Phylogeography of the Rhabditis ( Pellioditis ) marina species complex: evidence for long-distance dispersal, and for range expansions and restricted gene flow in the northeast Atlantic",,Molecular Ecology,17,14,3306-3322
"Derycke, S.; Remerie, T.; Vierstraete, A.; Backeljau, T.; Vanfleteren, J.; Vincx, M.; Moens, T. (2005). Mitochondrial DNA variation and cryptic speciation within the free-living marine nematode Pellioditis marina. <em>Marine Ecology Progress Series.</em> 300: 91-103.","Derycke, S.; Remerie, T.; Vierstraete, A.; Backeljau, T.; Vanfleteren, J.; Vincx, M.; Moens, T.",2005,Mitochondrial DNA variation and cryptic speciation within the free-living marine nematode Pellioditis marina,,Marine Ecology Progress Series,300,,91-103
"Derycke, S.; Van Vynckt, R.; Vanaverbeke, J.; Vincx, M.; Moens, T. (2007). Colonization patterns of Nematoda on decomposing algae in the estuarine environment: community assembly and genetic structure of the dominant species Pellioditis marina. <em>Limnology and Oceanography.</em> 52(3): 992-1001.","Derycke, S.; Van Vynckt, R.; Vanaverbeke, J.; Vincx, M.; Moens, T.",2007,Colonization patterns of Nematoda on decomposing algae in the estuarine environment: community assembly and genetic structure of the dominant species Pellioditis marina,,Limnology and Oceanography,52,3,992-1001
"Deudero, S.; Vincx, M. (2000). Sublittoral meiobenthic assemblages from disturbed and non-disturbed sediments in the Balearics. <em>Scientia Marina.</em> 64(3):285-293.","Deudero, S.; Vincx, M.",2000,Sublittoral meiobenthic assemblages from disturbed and non-disturbed sediments in the Balearics,,Scientia Marina,64,3,285-293
"Deval, M. C.; Kaya, Y.; Guven, O.; Gokoglu, M.; Froglia, C. (2010). An unexpected find of the western Atlantic shrimp, <i>Farfantepenaeus aztecus</i> (Ives, 1891) (Decapoda, Penaeidae) in Antalya Bay, eastern Mediterranean Sea. <em>Crustaceana.</em> 83(12): 1531-1537.","Deval, M. C.; Kaya, Y.; Guven, O.; Gokoglu, M.; Froglia, C.",2010,"An unexpected find of the western Atlantic shrimp, <i>Farfantepenaeus aztecus</i> (Ives, 1891) (Decapoda, Penaeidae) in Antalya Bay, eastern Mediterranean Sea",,Crustaceana,83,12,1531-1537
"Devaney, D. M. (1978). A review of the genus Ophiomastix (Ophiuroidea: Ophiocomidae), Part II of a series of studies on Ophiocomid Brittlestars. <em>Micronesica.</em> 14(2): 273-359.","Devaney, D. M.",1978,"A review of the genus Ophiomastix (Ophiuroidea: Ophiocomidae), Part II of a series of studies on Ophiocomid Brittlestars",,Micronesica,14,2,273-359
"Dewicke, A.; Cattrijsse, A.; Mees, J.; Vincx, M. (2003). Spatial patterns of the hyperbenthos of subtidal sandbanks in the southern North Sea. <em>Journal of Sea Research.</em> 49: 27-45.","Dewicke, A.; Cattrijsse, A.; Mees, J.; Vincx, M.",2003,Spatial patterns of the hyperbenthos of subtidal sandbanks in the southern North Sea,,Journal of Sea Research,49,,27-45
"Dewicke, A.; Rottiers, V.; Mees, J.; Vincx, M. (2002). Evidence for an enriched hyperbenthic fauna in the Frisian front (North Sea). <em>Journal of Sea Research.</em> 47(2): 121-139.","Dewicke, A.; Rottiers, V.; Mees, J.; Vincx, M.",2002,Evidence for an enriched hyperbenthic fauna in the Frisian front (North Sea),,Journal of Sea Research,47,2,121-139
"Di Capua, I. & G.A. Boxshall. (2008). Records of Oncaeidae (Copepoda) from the Gulf of Naples, with new records of three species of Triconia. <em>Journal of the Marine Biological Association of the United Kingdom.</em> 88(07): 1407.","Di Capua, I. & G.A. Boxshall",2008,"Records of Oncaeidae (Copepoda) from the Gulf of Naples, with new records of three species of Triconia",,Journal of the Marine Biological Association of the United Kingdom,88,7,1407-1415
"Diamant, A.; Paperna, I.; Westernhagen, H. V.; Kruener, G.; Banet, A.; Koerting, W.; Broeg, K.; Zander, S. (1999). The use of fish metabolic, pathological and parasitological indices in pollution monitoring. <em>Helgoland Marine Research.</em> 53(3-4): 195-208.","Diamant, A.; Paperna, I.; Westernhagen, H. V.; Kruener, G.; Banet, A.; Koerting, W.; Broeg, K.; Zander, S.",1999,"The use of fish metabolic, pathological and parasitological indices in pollution monitoring",,Helgoland Marine Research,53,03-Apr,195-208
"Diapoulis, A.; Bogdanos, C. (1983). Preliminary study of soft substrate macrozoobenthos & marine flora in the Bay of Gera (Lesvos Island, Greece). <em>Thalassographica.</em> 6: 127-139.","Diapoulis, A.; Bogdanos, C.",1983,"Preliminary study of soft substrate macrozoobenthos & marine flora in the Bay of Gera (Lesvos Island, Greece)",,Thalassographica,6,,127-139
"Díaz, M.C. (2005). Common sponges from shallow marine habitats from Bocas del Toro region, Panama. <em>Caribbean Journal of Science.</em> 41(3): 465-475.","Díaz, M.C.",2005,"Common sponges from shallow marine habitats from Bocas del Toro region, Panama",,Caribbean Journal of Science,41,3,465-475
"Dickinson, E. C.; Bruce, M. D.; Dowsett, R. J. (2006). Vivarium naturae or the naturalist's miscellany (1789–1813) by George Shaw: an assessment of the dating of the parts and volumes. <em>Archives of Natural History.</em> 33(2): 322-343.","Dickinson, E. C.; Bruce, M. D.; Dowsett, R. J.",2006,Vivarium naturae or the naturalist's miscellany (1789–1813) by George Shaw: an assessment of the dating of the parts and volumes,,Archives of Natural History,33,2,322-343
"Dijkstra, H. H. (1995). Bathyal Pectinoidea (Bivalvia: Propeamussiidae, Entoliidae, Pectinidae) from New Caledonia and adjacent areas. <em>in: Bouchet, P. (Ed.) Résultats des Campagnes MUSORSTOM 14. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 167: 9-73.","Dijkstra, H. H.",1995,"Bathyal Pectinoidea (Bivalvia: Propeamussiidae, Entoliidae, Pectinidae) from New Caledonia and adjacent areas",Résultats des Campagnes MUSORSTOM 14,"Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",167,,Sep-73
"Dijkstra, H. H. (2001). Pectinoidea du bathyal de Wallis et Futuna, du Vanuatu et de Nouvelle-Calédonie (Bivalvia: Propeamussiidae, Entoliidae et Pectinidae) = Bathyal Pectinoidea (Bivalvia: Propeamussiidae, Entoliidae and Pectinidae) from Wallis and Futuna Islands, Vanuatu Archipelago and New Caledonia. <em>in: Bouchet, P. et al. (Ed.) Tropical deep-sea benthos. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 185: 73-95.","Dijkstra, H. H.",2001,"Pectinoidea du bathyal de Wallis et Futuna, du Vanuatu et de Nouvelle-Calédonie (Bivalvia: Propeamussiidae, Entoliidae et Pectinidae) = Bathyal Pectinoidea (Bivalvia: Propeamussiidae, Entoliidae and Pectinidae) from Wallis and Futuna Islands, Vanuatu Archipelago and New Caledonia",Tropical Deep-Sea Benthos,"Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",185,,73-95
"Dijkstra, H. H.; Maestrati, P. (2008). New species and new records of deep-water Pectinoidea (Bivalvia: Propeamussiidae, Entoliidae and Pectinidae) from the South Pacific. <em>in: Héros, V. et al. (Ed.) Tropical Deep-Sea Benthos 25. Mémoires du Muséum national d'Histoire naturelle (1993).</em> 196: 77-113.","Dijkstra, H. H.; Maestrati, P.",2008,"New species and new records of deep-water Pectinoidea (Bivalvia: Propeamussiidae, Entoliidae and Pectinidae) from the South Pacific",Tropical Deep-Sea Benthos 25,Mémoires du Muséum national d'Histoire naturelle (1993),196,,77-113
"Dijkstra, H.H.; Kastoro, W.W. (1997). Mollusca Bivalvia: Pectinoidea (Propeamussiidae and Pectindae) from eastern Indonesia. <em>in: Crosnier, A. et al. (Ed.) Résultats des Campagnes MUSORSTOM 16. Campagne Franco-Indonésienne KARUBAR. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 172: 245-285.","Dijkstra, H.H.; Kastoro, W.W.",1997,Mollusca Bivalvia: Pectinoidea (Propeamussiidae and Pectindae) from eastern Indonesia,Résultats des Campagnes MUSORSTOM 16. Campagne Franco-Indonésienne KARUBAR,"Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",172,,245-285
"Dinet, A.; Vivier, M.-H. (1979). Le méiobenthos abyssal du Golfe de Gascogne 2. Les peuplements de nématodes et leur diversité spécifique. <em>Cahiers de Biologie Marine.</em> 20(1): 109-123.","Dinet, A.; Vivier, M.-H.",1979,Le méiobenthos abyssal du Golfe de Gascogne 2. Les peuplements de nématodes et leur diversité spécifique,,Cahiers de Biologie Marine,20,1,109-123
"Dolin, L. (2001). Les Triviidae (Mollusca: Caenogastropoda) de l'Indo-Pacifique: Révision des genres Trivia, Dolichupis et Trivellona = Indo-Pacific Triviidae (Mollusca: Caenogastropoda): Revision of Trivia, Dolichupis and Trivellona. <em>in: Bouchet, P. et al. (Ed.) Tropical deep-sea benthos. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 185: 201-241.","Dolin, L.",2001,"Les Triviidae (Mollusca: Caenogastropoda) de l'Indo-Pacifique: Révision des genres Trivia, Dolichupis et Trivellona = Indo-Pacific Triviidae (Mollusca: Caenogastropoda): Revision of Trivia, Dolichupis and Trivellona",Tropical deep-sea benthos,"Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",185,,201-241
"Dollfus, R.Ph.; Chabaud, A.G.; Golvan, Y.J. (1957). Helminthes de la région de Banyuls. V. Nouveau distome Aphalloides coelomicola n. gen. n. sp. de la cavité générale d'un Gobius d'eau saumâtre. <em>Ann. Parasitol. Hum. Comp.</em> 32: 28-40.","Dollfus, R.Ph.; Chabaud, A.G.; Golvan, Y.J.",1957,Helminthes de la région de Banyuls. V. Nouveau distome Aphalloides coelomicola n. gen. n. sp. de la cavité générale d'un Gobius d'eau saumâtre,,Ann. Parasitol. Hum. Comp,32,,28-40
"Domínguez-Granda, L.; Fockedey, N.; De Mey, M.; Beyst, B.; Cornejo, M. P.; Calderóon, J.; Vincx, M. (2004). Spatial patterns of the surf zone hyperbenthic fauna of Valdivia Bay (Ecuador). <em>Hydrobiologia.</em> 529(1):207-226.","Domínguez-Granda, L.; Fockedey, N.; De Mey, M.; Beyst, B.; Cornejo, M. P.; Calderóon, J.; Vincx, M.",2004,Spatial patterns of the surf zone hyperbenthic fauna of Valdivia Bay (Ecuador),,Hydrobiologia,529,1,207-226
"Dominguez-Granda, L.; Fockedey, N.; De Mey, M.; Beyst, B.; Cornejo, M.d.P.; Calderon, J.; Vincx, M. (2004). Spatial patterns of the surf zone hyperbenthic fauna of Valdivia Bay (Ecuador). <em>Hydrobiologia.</em> 529: 205-224.","Dominguez-Granda, L.; Fockedey, N.; De Mey, M.; Beyst, B.; Cornejo, M.d.P.; Calderon, J.; Vincx, M.",2004,Spatial patterns of the surf zone hyperbenthic fauna of Valdivia Bay (Ecuador),,Hydrobiologia,529,,205-224
"Dozsa-Farkas, K. (1990). New enchytraeid species from sphagnum-bogs in Hungary (Oligochaeta, Enchytraeidae). <em>Acta Zoologica Hungarica.</em> 36(3-4): 265-274.","Dozsa-Farkas, K.",1990,"New enchytraeid species from sphagnum-bogs in Hungary (Oligochaeta, Enchytraeidae).",,Acta Zoologica Hungarica,36,03-Apr,265-274
"Duhamel, G. (1997). Notopogon xenosoma Regan, 1914 (Teleostei, Macrorhamphosidae) en limite de distribution subtropicale aux abords de la Nouvelle-Calédonie et de Madagascar. <em>in: Séret, B. (Ed.) Résultats des Campagnes MUSORSTOM 17. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 174: 83-89.","Duhamel, G.",1997,"Notopogon xenosoma Regan, 1914 (Teleostei, Macrorhamphosidae) en limite de distribution subtropicale aux abords de la Nouvelle-Calédonie et de Madagascar",Résultats des Campagnes MUSORSTOM 17,"Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",174,,83-89
"Dulčić, J.; Dragičević, B. (2012). <i>Paranthias furcifer</i> (Perciformes: Serranidae), a new alien fish in the Mediterranean Sea. <em>Journal of Fish Biology.</em> 82(1): 332-337.","Dulčić, J.; Dragičević, B.",2012,"<i>Paranthias furcifer</i> (Perciformes: Serranidae), a new alien fish in the Mediterranean Sea",,Journal of Fish Biology,82,1,332-337
"Dulcic, J.; Golani, D. (2006). First record of <i>Cyclopterus lumpus</i> L., 1758 (Osteichthyes: Cyclopteridae) in the Mediterranean Sea. <em>Journal of Fish Biology.</em> 69(1): 300-303.","Dulcic, J.; Golani, D.",2006,"First record of <i>Cyclopterus lumpus</i> L., 1758 (Osteichthyes: Cyclopteridae) in the Mediterranean Sea",,Journal of Fish Biology,69,1,300-303
"Dumont H.J. (1998). The Caspian Lake: History, biota, structure, and function. Limnology and Oceanography, 43, 1, 44-52.","Dumont, H. J.",1998,"The Caspian Lake: History, biota, structure, and function",,Limnology and Oceanography,43,1,44-52
"Dumont, H.J. (1965). Sur cinq Cyclopides et un Harpacticide nouveaux pour la faune de la Belgique, et sur l'évolution de la faune du Lac d'Overmere. Biologisch Jaarboek Dodonaea 33:365-382, pls. 1-9.","Dumont, H.J.",1965,"Sur cinq Cyclopides et un Harpacticide nouveaux pour la faune de la Belgique, et sur l'évolution de la faune du Lac d'Overmere.",,Biologisch Jaarboek Dodonaea,33,,"365-382, pls. 1-9."
"Dumont, H.J. (1966). Scapholeberis aurita (S. Fischer, 1849) Hellich, 1877 (Crustacea: Cladocera) en Thermocyclops dybowskii (Lande, 1890) Kiefer, 1927 (Crustacea: Copepoda) in België. Biologisch Jaarboek Dodonaea, The Hague 34:85-93, pls. 1-5.","Dumont, H.J.",1966,"Scapholeberis aurita (S. Fischer, 1849) Hellich, 1877 (Crustacea: Cladocera) en Thermocyclops dybowskii (Lande, 1890) Kiefer, 1927 (Crustacea: Copepoda) in België.",,"Biologisch Jaarboek Dodonaea, The Hague",34,,"85-93, pls. 1-5."
"Dumont, H.J. (1972). Attheyella (Mrazekiella) wulmeri (De Kerherve, 1914) and some other copepod species recently found in Belgium. Biologisch Jaarboek Dodonaea 40:198-202, fig. 1.","Dumont, H.J.",1972,"Attheyella (Mrazekiella) wulmeri (De Kerherve, 1914) and some other copepod species recently found in Belgium.",,Biologisch Jaarboek Dodonaea,40,,"198-202, fig. 1"
"Dumont, H.J. (1989). The free-living fresh- and brackish-water copepods of Belgium. <em>In: Wouters, K. & L. Baert (eds.). Verhandelingen van het symposium invertébraten van Belgie. Comptes rendus du symposium 'Invertébrés de Belgique', 25-26 Nov., 1988. Bruxellles, Institut Royal de Sciences Naturelles de Belgique, Brussels, Belgium, 468 p.</em> :147-151. (Dutch summary).","Dumont, H.J.",1989,The free-living fresh- and brackish-water copepods of Belgium.,"Verhandelingen van het symposium invertébraten van Belgie. Comptes rendus du symposium 'Invertébrés de Belgique', 25-26 Nov., 1988. Bruxellles, Institut Royal de Sciences Naturelles de Belgique, Brussels, Belgium",,,,147-151
"Dumont, H.J. & G.Y. Chiambeng. (2002). A third genus of freshwater calanoids (Copepoda, Diaptomidae, Diaptominae) in lowland tropical Africa: Camerundiaptomus, new genus. Journal of Crustacean Biology 22(3): 619-626.","Dumont, H.J. & G.Y. Chiambeng",2002,"A third genus of freshwater calanoids (Copepoda, Diaptomidae, Diaptominae) in lowland tropical Africa: Camerundiaptomus, new genus.",,Journal of Crustacean Biology,22,3,619-626
"Dumont, H.J. & H. Gysels. (1971). Étude faunistique et écologique sur les criques de la Flandre orientale et le long de l'Escaut. Considérations sur leur chimisme, leur faune planctonique, entomologique et malacologique, et discussion de leur état biologique actuel. Annales de la Société Royale Zoologique de Belgie 101(3):157-182.","Dumont, H.J. & H. Gysels",1971,"Étude faunistique et écologique sur les criques de la Flandre orientale et le long de l'Escaut. Considérations sur leur chimisme, leur faune planctonique, entomologique et malacologique, et discussion de leur état biologique actuel.",,Annales de la Société Royale Zoologique de Belgie,101,3,158-181
"Dumont, H.J. & I. Van de Velde. (1975). Anostraca, Cladocera and Copepoda from Rio de Oro (north-western Sahara). Biologisch Jaarboek Dodonaea 43:137-145, figs. 1-5, tab.","Dumont, H.J. & I. Van de Velde",1975,"Anostraca, Cladocera and Copepoda from Rio de Oro (north-western Sahara).",,Biologisch Jaarboek Dodonaea,43,,"137-145, figs. 1-5, tab."
"Dumont, H.J. & W. Decraemer. (1974). Nitocrella ioneli n. sp. (Crustacea: Copepoda), a new phreatic harpacticoid copepod from the Presahara in Morocco. Biologisch Jaarboek Dodonaea 42:105-111, figs. 1-2.","Dumont, H.J. & W. Decraemer",1974,"Nitocrella ioneli n. sp. (Crustacea: Copepoda), a new phreatic harpacticoid copepod from the Presahara in Morocco.",,Biologisch Jaarboek Dodonaea,42,,"105-111, figs. 1-2"
"Dumont, H.J., S. Maas & H. Segers. (1994). Zooplankton of Kismayu, South Somalia. Biologisch Jaarboek Dodonaea 61:168-171.","Dumont, H.J., S. Maas & H. Segers",1994,"Zooplankton of Kismayu, South Somalia.",,Biologisch Jaarboek Dodonaea,61,,168-171
"Dumoulin, E. (1987). Nieuwe waarnemingen van de Knotszakpijp, Styela clava Herdman, 1882, langs de Belgische Oostkust. <em>De Strandvlo.</em> 7(2): 61-62.","Dumoulin, E.",1987,"Nieuwe waarnemingen van de Knotszakpijp, Styela clava Herdman, 1882, langs de Belgische Oostkust",,De Strandvlo,7,2,61-62
