String,Authors,Year,Title,Book,Series,Publisher,City,Volume,Issue,Pagination,DOI,,
"Conradi, M.; Lopez-Gonzalez, P.J.; Bellan-Santini, D. (1995). A new species of <i>Urothoe</i> (Amphipoda, Gammaridea) from the Iberian Peninsula. <em>Cahiers de Biologie marine.</em> 36(1): 9-13.","Conradi, M.; Lopez-Gonzalez, P.J.; Bellan-Santini, D.",1995,"A new species of <i>Urothoe</i> (Amphipoda, Gammaridea) from the Iberian Peninsula",,Cahiers de Biologie marine,,,36,1,9-13,,,
"Martens, E.; Moens, J. (1995). The metazoan ecto- and endoparasites of the rabbitfish, Siganus sutor (Cuvier & Valenciennes, 1835) of the Kenyan coast. I. <em>African Journal of Ecology.</em> 33(4): 405-416.","Martens, E.; Moens, J.",1995,"The metazoan ecto- and endoparasites of the rabbitfish, Siganus sutor (Cuvier & Valenciennes, 1835) of the Kenyan coast. I",,African Journal of Ecology,,,33,4,405-416,10.1111/j.1365-2028.1995.tb01049.x,,
"Huys, R. (1995). A new genus of Canuellidae (Copepoda, Harpacticoida) associated with Atlantic bathyal sea-urchins. <em>Zoologica Scripta.</em> 24(3): 225-243.","Huys, R.",1995,"A new genus of Canuellidae (Copepoda, Harpacticoida) associated with Atlantic bathyal sea-urchins",,Zoologica Scripta,,,24,3,225-243,10.1111/j.1463-6409.1995.tb00401.x,,
"Soetaert, K., M. Vincx, J. Wittoeck & M. Tulkens. (1995). Meiobenthic distribution and nematode community structure in five European estuaries. Hydrobiologia 311(1-3):185-206.","Soetaert, K., M. Vincx, J. Wittoeck & M. Tulkens",1995,Meiobenthic distribution and nematode community structure in five European estuaries.,,Hydrobiologia,,,311,1-3,185-206,,,
"Engl, W. (1995). Specie prevalentemente lessepsiane attestate lungo le coste turche. <em>Bollettino Malacologico.</em> 31(1-4): 43-50.","Engl, W.",1995,Specie prevalentemente lessepsiane attestate lungo le coste turche,,Bollettino Malacologico,,,31,1-4,43-50,,,
"Sartoni, G.; Boddi, S.; Hass, J. (1995). <i>Chrysonephos lewisii</i> (Sarcinochrysidales, Chrysophyceae), a New Record for the Mediterranean Algal Flora. <em>Botanica Marina.</em> 38(1-6), 121-126.","Sartoni, G.; Boddi, S.; Hass, J.",1995,"<i>Chrysonephos lewisii</i> (Sarcinochrysidales, Chrysophyceae), a New Record for the Mediterranean Algal Flora",,Botanica Marina,,,38,1-6,121-126,10.1515/botm.1995.38.1-6.121,,
"de Saint Laurent, M.; Poupin, J. (1996). Crustacea Anomura: Les espèces indo-ouest pacifiques du genre Eumunida Smith, 1880 (Chirostylidae). Description de six espèces nouvelles. <em>in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 15. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 168: 337-385.","de Saint Laurent, M.; Poupin, J.",1996,"Crustacea Anomura: Les espèces indo-ouest pacifiques du genre Eumunida Smith, 1880 (Chirostylidae). Description de six espèces nouvelles",Résultats des Campagnes MUSORSTOM 15,"Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",,,168,,337-385,,,
"Macpherson, E. (1996). Crustacea Decapoda: Species of the genera Munida Leach, 1820 and Paramunida Baba, 1988 (Galatheidae) from the seas around the Wallis and Futuna Islands. <em>in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 15. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 168: 387-421.","Macpherson, E.",1996,"Crustacea Decapoda: Species of the genera Munida Leach, 1820 and Paramunida Baba, 1988 (Galatheidae) from the seas around the Wallis and Futuna Islands",Résultats des Campagnes MUSORSTOM 15.,"Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",,,168,,387-421,,,
"Richer de Forges, B.; Chevillon, C. (1996). Les campagnes d'échantillonnage du benthos bathyal en Nouvelle-Calédonie, en 1993 et 1994 (BATHUS 1 à 4, SMIB 8 et HALIPRO 1). <em>in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 15. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 168: 33-53.","Richer de Forges, B.; Chevillon, C.",1996,"Les campagnes d'échantillonnage du benthos bathyal en Nouvelle-Calédonie, en 1993 et 1994 (BATHUS 1 à 4, SMIB 8 et HALIPRO 1)",Résultats des Campagnes MUSORSTOM 15,"Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",,,168,,33-53,,,
"Huys, R. & J.M. Gee. (1996). Sentiropsis, Peltisenia and Afrosenia: three new genera of Paranannopidae (Copepoda, Harpacticoida). Cahiers de Biologie Marine 37(1):49-75.","Huys, R. & J.M. Gee",1996,"Sentiropsis, Peltisenia and Afrosenia: three new genera of Paranannopidae (Copepoda, Harpacticoida).",,Cahiers de Biologie Marine,,,37,1,49-75,,,
"Forest, J. (1996). Henri Milne Edwards (23 October 1800-29 July 1885). <em>J. Crust. Biol.</em> 16(1): 208-213.","Forest, J.",1996,Henri Milne Edwards (23 October 1800-29 July 1885),,J. Crust. Biol.,,,16,1,208-213,,,
"Muylaert, K.; Sabbe, K. (1996). <i>Cyclotella scaldensis</i> spec. nov. (Bacillariophyceae), a new estuarine diatom. <em>Nova Hedwigia.</em> 63(3-4):335-345.","Muylaert, K.; Sabbe, K.",1996,"<i>Cyclotella scaldensis</i> spec. nov. (Bacillariophyceae), a new estuarine diatom",,Nova Hedwigia,,,63,3-4,335-345,,,
"Hajdu, E.; Van Soest, R.W.M. (1996). Choosing among Poriferan morphological characters within the cladistic paradigm. <i>In</i>: Willenz, P. (Ed.), Recent Advances in Sponge Biodiversity Inventory and Documentation. <em>Bulletin de l'Institut Royal des Sciences Naturelles de Belgique, Biologie,.</em> 66, suppl.: 81-88.","Hajdu, E.; Van Soest, R.W.M.",1996,"Choosing among Poriferan morphological characters within the cladistic paradigm. <i>In</i>: Willenz, P. (Ed.), Recent Advances in Sponge Biodiversity Inventory and Documentation.",,"Bulletin de l'Institut Royal des Sciences Naturelles de Belgique, Biologie,",,,66,suppl.,81-88,,,
"Muylaert, K.; Sabbe, K. (1996). The diatom genus Thalassiosira (Bacillariophyta) in the estuaries of the Schelde (Belgium/The Netherlands) and the Elbe (Germany). <em>Botanica Marina.</em> 39: 103-115.","Muylaert, K.; Sabbe, K.",1996,The diatom genus Thalassiosira (Bacillariophyta) in the estuaries of the Schelde (Belgium/The Netherlands) and the Elbe (Germany),,Botanica Marina,,,39,,103-115,,,
"Maldonado, M.; Uriz, M.-J. (1996). A new species of <i>Sphinctrella</i> (Demospongiae: Astrophorida) and remarks on the status of the genus in the Mediterranean. <em>Bulletin de l'Institut Royal des Sciences Naturelles de Belgique.</em> 66 (Suppl.): 175-184.","Maldonado, M.; Uriz, M.-J.",1996,A new species of <i>Sphinctrella</i> (Demospongiae: Astrophorida) and remarks on the status of the genus in the Mediterranean,,Bulletin de l'Institut Royal des Sciences Naturelles de Belgique,,,66,Suppl.,175-184,,,
"Huys, R., J.M. Gee, C.G. Moore & R. Hamond. (1996). Marine and brackish water harpacticoid copepods. Part 1. Keys and notes for identification of the species. <em>In: Barnes, R.S.K. & J.H. Crothers (eds.). Synopses of the British Fauna, New Series,  Published for the Linnean Society of London and the Estuarine and Coastal Sciences Association.</em> 51(1):1-352.","Huys, R., J.M. Gee, C.G. Moore & R. Hamond",1996,Marine and brackish water harpacticoid copepods. Part 1. Keys and notes for identification of the species.,,"In: Barnes, R.S.K. & J.H. Crothers (eds.). Synopses of the British Fauna, New Series,  Published for the Linnean Society of London and the Estuarine and Coastal Sciences Association",,,51,1,1-352,,,
"Volkmer-Ribeiro, C. (1996). <i>Acanthodiscus</i> new genus and genus <i>Anheteromeyenia</i> redefined (Porifera, Spongillidae). <em>Iheringia. Série Zoologia.</em> 81: 31-43.","Volkmer-Ribeiro, C.",1996,"<i>Acanthodiscus</i> new genus and genus <i>Anheteromeyenia</i> redefined (Porifera, Spongillidae)",,Iheringia. Série Zoologia,,,81,,31-43,,,
"Verschelde, D.; Vincx, M. (1996). Four new species of the family Desmodoridae (Nematoda, Desmodoroidea) from Kenya. <em>Zoologica Scripta.</em> 25:1-20.","Verschelde, D.; Vincx, M.",1996,"Four new species of the family Desmodoridae (Nematoda, Desmodoroidea) from Kenya",,Zoologica Scripta,,,25,,1-20,,,
"Conroy-Dalton, S. & R. Huys. (1996). Towards a revision of Ameira Boeck, 1865 (Harpacticoida, Ameiridae): re-examination of the A. tenella-group and the establishment of Filexilia gen. n. and Glabrameira gen. n. <em>Zoologica Scripta.</em> 25(4): 317-339.","Conroy-Dalton, S. & R. Huys",1996,"Towards a revision of Ameira Boeck, 1865 (Harpacticoida, Ameiridae): re-examination of the A. tenella-group and the establishment of Filexilia gen. n. and Glabrameira gen. n.",,Zoologica Scripta,,,25,4,317-339,10.1111/j.1463-6409.1996.tb00169.x,,
"Huys, R. & S.Conroy-Dalton. (1996). A revision of Leptopontia T. Scott (Copepoda: Harpacticoida) with description of six new species. <em>Zoological Journal of the Linnean Society.</em> 118(3): 197-239.","Huys, R. & S.Conroy-Dalton",1996,A revision of Leptopontia T. Scott (Copepoda: Harpacticoida) with description of six new species,,Zoological Journal of the Linnean Society,,,118,3,197-239,10.1111/j.1096-3642.1996.tb01265.x,,
"Huys, R. (1996). Superornatiremidae fam. nov. (Copepoda: Harpacticoida): An enigmatic family from North Atlantic anchihaline caves. <em>Scientia Marina.</em> 60(4): 497-542.","Huys, R.",1996,Superornatiremidae fam. nov. (Copepoda: Harpacticoida): An enigmatic family from North Atlantic anchihaline caves,,Scientia Marina,,,60,4,497-542,,,
"Huys, R., J.Y. Bodiou & P. Bodin. (1996). A revision of Psamathea (Harpacticoida: Leptastacidae) with description of P. brittanica sp. nov. <em>Vie et Milieu.</em> 46(1): 7-19.","Huys, R., J.Y. Bodiou & P. Bodin",1996,A revision of Psamathea (Harpacticoida: Leptastacidae) with description of P. brittanica sp. nov.,,Vie et Milieu,,,46,1,7-19,,,
"Huys, R. & J.M. Gee. (1996). Prionos gen. nov. from the meiofauna of a Malaysian mangrove forest and the status of Psammis borealis (Copepoda, Harpacticoida, Paranannopidae). Cahiers de Biologie Marine 37(3):227-248.","Huys, R. & J.M. Gee",1996,"Prionos gen. nov. from the meiofauna of a Malaysian mangrove forest and the status of Psammis borealis (Copepoda, Harpacticoida, Paranannopidae).",,Cahiers de Biologie Marine,,,37,3,227-248,,,
"Huys, R. & R. Böttger-Schnack. (1997). On the diphyletic origin of the Oncaeidae Giesbrecht, 1892 (Copepoda: Poecilostomatoida) with a phylogenetic analysis of the Lubbockiidae fam. nov. Zoologischer Anzeiger 235:243-261. (1996/97)","Huys, R. & R. Böttger-Schnack",1997,"On the diphyletic origin of the Oncaeidae Giesbrecht, 1892 (Copepoda: Poecilostomatoida) with a phylogenetic analysis of the Lubbockiidae fam. nov.",,Zoologischer Anzeiger,,,235,,243-261. (1996/97),,,
"Norman, M.; Hochberg, F.G.; Lu, C.C. (1997). Mollusca Cephalopoda: Mid-depth octopuses (200-1000m) of the Banda and Arafura Seas (Octopodidae and Alloposidae). <em>in: Crosnier, A. et al. (Ed.) Résultats des Campagnes MUSORSTOM 16. Campagne Franco-Indonésienne KARUBAR. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 172: 357-384.","Norman, M.; Hochberg, F.G.; Lu, C.C.",1997,Mollusca Cephalopoda: Mid-depth octopuses (200-1000m) of the Banda and Arafura Seas (Octopodidae and Alloposidae),Résultats des Campagnes MUSORSTOM 16. Campagne Franco-Indonésienne KARUBAR.,"Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",,,172,,357-384,,,
"Stock, J. H. (1997). Pycnogonida collected in recent years around New Caledonia and Vanuatu. <em>in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 18. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 176: 389-409.","Stock, J. H.",1997,Pycnogonida collected in recent years around New Caledonia and Vanuatu,Résultats des Campagnes MUSORSTOM 18,"Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",,,176,,389-409,,,
"Tavares, M. (1997). Crustacea Decapoda: Cyclodorippidae récoltés dans l'archipel de Vanuatu (Brachyura). <em>in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 18. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 176: 261-270.","Tavares, M.",1997,Crustacea Decapoda: Cyclodorippidae récoltés dans l'archipel de Vanuatu (Brachyura),Résultats des Campagnes MUSORSTOM 18,"Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",,,176,,261-270,,,
"Moens, T.; Vincx, M. (1997). Observations on the feeding ecology of estuarine nematodes. <em>J. mar. biol. Ass. U. K.</em> 77: 211-227.","Moens, T.; Vincx, M.",1997,Observations on the feeding ecology of estuarine nematodes,,J. mar. biol. Ass. U. K.,,,77,,211-227,,,
"Böttger-Schnack, R. & R. Huys. (1997). Morphological observations on Oncaea mediterranea (Claus, 1863) (Copepoda, Poecilostomatoida) with a comparison of Red Sea and eastern Mediterranean populations. Bulletin of the Natural History Museum, London, Zoology 63(2):137-147.","Böttger-Schnack, R. & R. Huys",1997,"Morphological observations on Oncaea mediterranea (Claus, 1863) (Copepoda, Poecilostomatoida) with a comparison of Red Sea and eastern Mediterranean populations.",,"Bulletin of the Natural History Museum, London, Zoology",,,63,2,137-147,,,
"Bousfield, E. L.; Hoover, P. M. (1997). The amphipod superfamily Corophioidea on the Pacific Coast of North America. Part V. Family Corophiidae: Corophiinae, new subfamily. <em>Systematics and distributional ecology. Amphipacifica.</em> 2(3): 67-139.","Bousfield, E. L.; Hoover, P. M.",1997,"The amphipod superfamily Corophioidea on the Pacific Coast of North America. Part V. Family Corophiidae: Corophiinae, new subfamily",,Systematics and distributional ecology. Amphipacifica,,,2,3,67-139,,,
"Howson, C.M.; Picton, B.E. (1997). The species directory of the marine fauna and flora of the British Isles and surrounding seas. <em>Ulster Museum Publication, 276. The Ulster Museum: Belfast, UK. ISBN 0-948150-06-8.</em> vi, 508 (+ cd-rom) pp.","Howson, C.M.; Picton, B.E.",1997,The species directory of the marine fauna and flora of the British Isles and surrounding seas,,Ulster Museum Publication,The Ulster Museum,"Belfast, UK",276,,"vi, 508 (+ cd-rom)",,,
"Huys, R. & M.A. Todaro. (1997). Meloriastacus ctenidis gen. et sp. nov.: a primitive interstitial copepod (Harpacticoida, Leptastacidae) from Tuscany. Italian Journal of Zoology, Modena 64(2):181-196.","Huys, R. & M.A. Todaro",1997,"Meloriastacus ctenidis gen. et sp. nov.: a primitive interstitial copepod (Harpacticoida, Leptastacidae) from Tuscany.",,"Italian Journal of Zoology, Modena",,,64,2,181-196,,,
"Muthumbi, A. W.; Soetaert, K.; Vincx, M. (1997). Deep-sea nematodes from the Indian Ocean: new and known species of the family Comesomatidae. <em>Hydrobiologia.</em> 346: 25-57.","Muthumbi, A. W.; Soetaert, K.; Vincx, M.",1997,Deep-sea nematodes from the Indian Ocean: new and known species of the family Comesomatidae,,Hydrobiologia,,,346,,25-57,,,
"Van Soest, R.W.M.; Lehnert, H. (1997). The genus <i>Julavis</i> de Laubenfels (Porifera: Halichondrida). <em>Proceedings of the Biological Society of Washington.</em> 110 (4): 502-510.","Van Soest, R.W.M.; Lehnert, H.",1997,The genus <i>Julavis</i> de Laubenfels (Porifera: Halichondrida),,Proceedings of the Biological Society of Washington,,,110,4,502-510,,,
"Bouillon, J.; Medel, D.; Peña Cantero, A.L. (1997). The taxonomic status of the genus <i>Stylactaria</i> Stechow, 1921 (Hydroidomedusae, Anthomedusae, Hydractiniidae), with the description of a new species. <em>Sci. Mar. (Barc.).</em> 61(4): 471-486.","Bouillon, J.; Medel, D.; Peña Cantero, A.L.",1997,"The taxonomic status of the genus <i>Stylactaria</i> Stechow, 1921 (Hydroidomedusae, Anthomedusae, Hydractiniidae), with the description of a new species.",,Sci. Mar. (Barc.),,,61,4,471-486,,,
"Huys, R. & P. Bodin. (1997). First record of Acanthocephala in marine copepods. <em>Ophelia.</em> 46(3): 217-231.","Huys, R. & P. Bodin",1997,First record of Acanthocephala in marine copepods.,,Ophelia,,,46,3,217-231,10.1080/00785326.1997.10432880,,
"Li, J.; Vincx, M.; Herman, P. M. J.; Heip, C. H. R. (1997). Monitoring Meiobenthos Using cm-, m- and km-Scales in the Southern Bight of the North Sea. <em>Mar. Env. Res.</em> 43: 265-278.","Li, J.; Vincx, M.; Herman, P. M. J.; Heip, C. H. R.",1997,"Monitoring Meiobenthos Using cm-, m- and km-Scales in the Southern Bight of the North Sea",,Mar. Env. Res.,,,43,,265-278,,,
"Casanova, J.-P.; Goto, T. (1997). Sagitta siamensis, a new benthoplanktonic Chaetognatha living in marine meadows of the Andaman Sea, Thailand. <em>Cah. Biol. Mar.</em> 38(1): 51-58.","Casanova, J.-P.; Goto, T.",1997,"Sagitta siamensis, a new benthoplanktonic Chaetognatha living in marine meadows of the Andaman Sea, Thailand",,Cah. Biol. Mar.,,,38,1,51-58,,,
"Huys, R., N. Møbjerg & R.M. Kristensen. (1997). New tantulocarid Polynyapodella ambrosei gen. et sp., (Basipodellidae) from the Northeast Water Polynya (Greenland) with emphasis on the phylogeny of its host genus Cervinia (Copepoda: Harpacticoida). <em>Cahiers de Biologie Marine.</em> 38(3):181-199.","Huys, R., N. Møbjerg & R.M. Kristensen",1997,"New tantulocarid Polynyapodella ambrosei gen. et sp., (Basipodellidae) from the Northeast Water Polynya (Greenland) with emphasis on the phylogeny of its host genus Cervinia (Copepoda: Harpacticoida)",,Cahiers de Biologie Marine,,,38,3,181-199,,,
"Schrijvers, J.; Vincx, M. (1997). Cage experiments in an East African  mangrove forest : a synthesis. <em>J. Sea Res.</em> 38: 123-133.","Schrijvers, J.; Vincx, M.",1997,Cage experiments in an East African  mangrove forest : a synthesis,,J. Sea Res.,,,38,,123-133,,,
"Mees, J.; Jones, M. B. (1997). The hyperbenthos. <em>Oceanography and marine Biology: an annual review.</em> 35: 221-255.","Mees, J.; Jones, M. B.",1997,The hyperbenthos,,Oceanography and marine Biology: an annual review,,,35,,221-255,,,
"Schrijvers, J.; Schallier, R.; Silence, J.; Okondo, J.; Vincx, M. (1997). Interactions between epibenthos and meiobenthos in a high intertidal avicenna marina mangrove forest. <em>Mangroves and Salt Marshes.</em> 1: 137-154.","Schrijvers, J.; Schallier, R.; Silence, J.; Okondo, J.; Vincx, M",1997,Interactions between epibenthos and meiobenthos in a high intertidal avicenna marina mangrove forest,,Mangroves and Salt Marshes,,,1,,137-154,,,
"Muthumbi, A. W.; Vincx, M. (1997). Acantholaimus (Chromadoridae: Nematoda) from the Indian Ocean: description of seven species. <em>Hydrobiologia.</em> 346: 59-76.","Muthumbi, A. W.; Vincx, M.",1997,Acantholaimus (Chromadoridae: Nematoda) from the Indian Ocean: description of seven species,,Hydrobiologia,,,346,,59-76,,,
"Wang, S. (1998). On new and rare species of Mysidacea (Crustacea) from the Northern South China Sea. <em>Studia Marina Sinica.</em> 40: 199-244.","Wang, S.",1998,On new and rare species of Mysidacea (Crustacea) from the Northern South China Sea,,Studia Marina Sinica,,,40,,199-244,,,
"Bavestrello, G.; Calcinai, B.; Cerrano, C.; Sarà, M. (1998). <i>Alectona</i> species from north-western Pacific (Demospongiae: Clionidae). <em>Journal of the Marine Biological Association of the United Kingdom.</em> 78 (1): 59-73.","Bavestrello, G.; Calcinai, B.; Cerrano, C.; Sarà, M.",1998,<i>Alectona</i> species from north-western Pacific (Demospongiae: Clionidae),,Journal of the Marine Biological Association of the United Kingdom,,,78,1,59-73,,,
"McLaughlin, P.A.; Hogarth, P.J. (1998). Hermit crabs (Decapoda: Anomura: Paguridae) from the Seychelles. <em>Zoologische Verhandelingen.</em> 318: 3-48.","McLaughlin, P.A.; Hogarth, P.J.",1998,Hermit crabs (Decapoda: Anomura: Paguridae) from the Seychelles,,Zoologische Verhandelingen,,,318,,3-48,,,
"Conroy-Dalton, S. & R. Huys. (1998). Towards a revision of Ameira Boeck, 1865 (Harpacticoida, Ameiridae): reinstatement of Psammameira Noodt, 1952. <em>Zoologica Scripta.</em> 27(3): 247-261.","Conroy-Dalton, S. & R. Huys",1998,"Towards a revision of Ameira Boeck, 1865 (Harpacticoida, Ameiridae): reinstatement of Psammameira Noodt, 1952.",,Zoologica Scripta,,,27,3,247-261,10.1111/j.1463-6409.1998.tb00439.x,,
"Zdzitowiecki, K. (1998). Diversity of Digenea, parasites of fishes in various areas of the Antarctic. <em>In: di Prisco, G. et al. Fishes of Antarctica: a biological overview.</em> pp. 87-94.","Zdzitowiecki, K.",1998,"Diversity of Digenea, parasites of fishes in various areas of the Antarctic",Fishes of Antarctica: a biological overview,,,,,,87-94,,,
"Verschelde, D.; Gourbault, N.; Vincx, M. (1998). Revision of Desmodora with descriptions of new Desmodorids (Nematoda) from hydrothermal vents of the Pacific. <em>J. Mar. Biol. Ass. U.K.</em> 78: 75-112.","Verschelde, D.; Gourbault, N.; Vincx, M.",1998,Revision of Desmodora with descriptions of new Desmodorids (Nematoda) from hydrothermal vents of the Pacific,,J. Mar. Biol. Ass. U.K.,,,78,,75-112,,,
"Torres, P.; Andrade, P.; Silva, R. (1998). On a new species of Hysterothylacium (Nematoda: Anisakidae) from Cauque mauleanum (Pisces: Atherinidae) by Brightfield and Scanning Electron Microscopy. <em>Mem. Inst. Oswaldo Cruz, Rio de Janeiro.</em> 93(6): 745-752.","Torres, P.; Andrade, P.; Silva, R.",1998,On a new species of Hysterothylacium (Nematoda: Anisakidae) from Cauque mauleanum (Pisces: Atherinidae) by Brightfield and Scanning Electron Microscopy,,"Mem. Inst. Oswaldo Cruz, Rio de Janeiro",,,93,6,745-752,,,
"Kerckhof, F. (1998). Het voorkomen van Balanus amphitrite langs de kust, in 1996 en 1997. <em>De Strandvlo.</em> 18(4): 170-179.","Kerckhof, F.",1998,"Het voorkomen van Balanus amphitrite langs de kust, in 1996 en 1997",,De Strandvlo,,,18,4,170-179,,,
"Zuev, G. V.; Boltachev, A. R. (1998). The life history characters of the haarder (Mugil so-iuy Basilewsky, 1855) at the Crimean western coast. Ekologiya Morya. 47: 29-33.","Zuev, G. V.; Boltachev, A. R.",1998,"The life history characters of the haarder (Mugil so-iuy Basilewsky, 1855) at the Crimean western coast",,Ekologiya Morya,,,47,,29-33,,,
"Mortier, S. (1998). Tidale en diurnale ritmes van het hyperbenthos in het subtidaal van de Belgische oostkust. <em>BSc Thesis. Universiteit Gent. Mariene Biologie. Instituut voor Dierkunde. Vakgroep Morfologie, Systematiek en Ecologie: Gent.</em> 94 pp.","Mortier, S.",1998,Tidale en diurnale ritmes van het hyperbenthos in het subtidaal van de Belgische oostkust,,"BSc Thesis. Universiteit Gent. Mariene Biologie. Instituut voor Dierkunde. Vakgroep Morfologie, Systematiek en Ecologie: Gent",,,,,94,,,
"Holmes, J.M.C. (1998). A checklist of the Siphonostomatoida (Crustacea: Copepoda) of Ireland. <em>Bulletin of the Irish Biogeographical Society, Dublin.</em> 22(2): 194-228.","Holmes, J.M.C.",1998,A checklist of the Siphonostomatoida (Crustacea: Copepoda) of Ireland.,,"Bulletin of the Irish Biogeographical Society, Dublin",,,22,2,194-228,,,
"Böttger-Schnack, R. & R. Huys. (1998). Species groups within the genus Oncaea Philippi, 1843 (Copepoda, Poecilostomatoida). <em>In: Dahms, H.U., T. Glatzel, H.J. Hirche, S. Schiel & H.K. Schminke, (eds.). Proceedings of the 6th International Conference on Copepoda, Journal of Marine Systems, Spec. Vol.</em> 15(1-4): 369-371.","Böttger-Schnack, R. & R. Huys",1998,"Species groups within the genus Oncaea Philippi, 1843 (Copepoda, Poecilostomatoida).",,"In: Dahms, H.U., T. Glatzel, H.J. Hirche, S. Schiel & H.K. Schminke, (eds.). Proceedings of the 6th International Conference on Copepoda, Journal of Marine Systems, Spec. Vol.",,,15,1-4,369-371,10.1016/s0924-7963(97)00072-9,,
"Chang, C. C. Y.; Lee, J. M.; Clausen, C. (1998). Two new species of Thaumastoderma (Gastrotricha, Macrodasyida) from Korea. <em>Sarsia.</em> 83: 329-336.","Chang, C. C. Y.; Lee, J. M.; Clausen, C.",1998,"Two new species of Thaumastoderma (Gastrotricha, Macrodasyida) from Korea",,Sarsia,,,83,,329-336,,,
"van Aartsen, J.J.; Recevik, M. (1998). Two more Indo-Pacific species found in the Mediterranean. <em>La Conchiglia.</em> 30 (286): 13-15.","van Aartsen, J.J.; Recevik, M.",1998,Two more Indo-Pacific species found in the Mediterranean,,La Conchiglia,,,30,286,13-15,,,
"Muthumbi, A. W.; Vincx, M. (1998). Chromadoridae (Chromadorida: Nematoda) from the Indian Ocean: Description of new and known species. <em>Hydrobiologia.</em> 364: 119-153.","Muthumbi, A. W.; Vincx, M.",1998,Chromadoridae (Chromadorida: Nematoda) from the Indian Ocean: Description of new and known species,,Hydrobiologia,,,364,,119-153,,,
"Bellan-Santini, D.; Karaman, G.; Ledoyer, M.; Myers, A.A.; Ruffo, S.; Vader, W. (1998). The Amphipoda of the Mediterranean. Part 4: Localities and Map, Addenda to Parts 1-3, Key to Families, Ecology, Faunistics and Zoogeography, Bibliography, Index. <em>Mémoires de l'Institut océanographique, Monaco.</em> 13: 1-959.","Bellan-Santini, D.; Karaman, G.; Ledoyer, M.; Myers, A.A.; Ruffo, S.; Vader, W.",1998,"The Amphipoda of the Mediterranean. Part 4: Localities and Map, Addenda to Parts 1-3, Key to Families, Ecology, Faunistics and Zoogeography, Bibliography, Index.",,"Mémoires de l'Institut océanographique, Monaco",,,13,,1-959,,,
"Todaro, M.A. & R. Huys. (1998). La meiofauna delle Secche della Meloria: osservazioni su un nuovo Leptastacidae (Copepoda, Harpacticoida).  Meiofauna from the Meloria Shoals: observations on a new Leptastacidae (Copepoda, Harpacticoida). <em>Biologia Marina Mediterranea.</em> 5(1): 591-595.","Todaro, M.A. & R. Huys",1998,"La meiofauna delle Secche della Meloria: osservazioni su un nuovo Leptastacidae (Copepoda, Harpacticoida).  Meiofauna from the Meloria Shoals: observations on a new Leptastacidae (Copepoda, Harpacticoida).",,Biologia Marina Mediterranea,,,5,1,591-595,,,
"Van Soest, R.W.M. (1998). A new sponge <i>Desmapsamma vervoorti</i> spec. nov. (Poeciloslerida: Desmacididae) from Indonesia. <em>Zoologische Verhandelingen Leiden.</em> 323: 427-434.","Van Soest, R.W.M.",1998,A new sponge <i>Desmapsamma vervoorti</i> spec. nov. (Poeciloslerida: Desmacididae) from Indonesia,,Zoologische Verhandelingen Leiden,,,323,,427-434,,,
"Vanhove, S.; Lee, H. J.; Beghyn, M.; Van Gansbeke, D.; Brockington, S.; Vincx, M. (1998). The metazoan meiofauna in its biogeochemical environment: the case of an Antarctic costal sediment. <em>Journal of the Marine Biological Association of the United Kingdom.</em> 78: 411-434.","Vanhove, S.; Lee, H. J.; Beghyn, M.; Van Gansbeke, D.; Brockington, S.; Vincx, M.",1998,The metazoan meiofauna in its biogeochemical environment: the case of an Antarctic costal sediment,,Journal of the Marine Biological Association of the United Kingdom,,,78,,411-434,,,
"Carballo, J.L.; Hajdu, E. (1998). Micromorphology in <i>Mycale</i> taxonomy (Mycalidae, Poecilosclerida, Demospongiae), with the description of two new micracanthoxea-bearing species. <em>Contributions to Zoology.</em> 67 (3): 187-195.","Carballo, J.L.; Hajdu, E.",1998,"Micromorphology in <i>Mycale</i> taxonomy (Mycalidae, Poecilosclerida, Demospongiae), with the description of two new micracanthoxea-bearing species.",,Contributions to Zoology,,,67,3,187-195,,,
